   НЕ  КОФЕ,   Н Е    К О Ф Е
,Какао / Какао альт.,,,,Горячий шоколад
,Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения
,Какао Ristora,15,гр,,Какао Ristora,24,гр
,Молоко / Молоко альт.,260,гр,,Молоко,140,гр
,выход,275,гр,,выход,164,гр

,Какао – это молочный напиток с добавлением итальянского шоколада. Какао мы готовим в одном размере 350 мл. ,,,,"Горячий шоколад – это молочный напиток, насыщенный на основе тертого шоколада. Готовим в стакане 250 мл, по структуре очень плотный, как такая жидкая сметана"

,Матча / Матча альт,,,,Какао / Горячий шоколад UNICAVA (1 шт)
,Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения
,Матча,4,гр,,UNICAVA на чашку,20,гр
,Молоко / Альт. молоко,300,гр,,Молоко,200,гр
,выход,304,гр,,выход,220,гр

,"Матча – это китайский мелко перетертый чай, который готовится с молоком. Мы можем приготовить его как на классическом, так и на альтернативном молоке. ",,,,Какао от UNICAVA – это альтернативный вид молочнго напитка с добавлением какао от UNICAVA. Какао мы готовим в одном размере 350 мл.

,СПЕШЛТИ Горячий шоколад UNICAVA 
,Ингредиенты,Вес,Ед. измерения
,Горячий шоколад UNICAVA,30,гр
,Молоко,200,гр
,Ванильный сахар (по желанию гостя),7,гр
,выход,237,гр

,СПЕШЛТИ Горячий шоколад UNICAVA  – это альтернативный вид молочного напитка с добавлением темного или молочного натурального (без добавок и сахара) Горячего шоколада от UNICAVA. Напиток готовим в одном размере 350 мл.
,"Шаг 1: Влить в питчер 200 мл молока, добавить 30 гр шоколада 
Шаг 2: Взбить до температуры 75-80 градусов (на 3-4 секунды дольше чем Капучино), расширение пены как на капучино 
Шаг 3: Готовый напиток перемешать венчиком на первом режиме, не допуская образования воронки (10 секунд) и перелить в стакан 350"
