у,Наименование позиции,Состав,Цена
,Буритто,"Куриное филе в соусе берокруз, отварная консерв. красная фасоль, моцарела, консерв. кукуруза 
Подается с соусом сальса и сметаной
*соус берокруз - апельсиновый сок, томатная паста, специя кумин
*соус сальса - томаты, болг. перец, лук",300₽,"222,00 / 26%"
,Киш с курицей и грибами,"Начинка: шампиньоны, куриное филе, сливки, моцарелла, лук, чеснок, перец черный, масло растит., зелень 
Тесто: мука, соль, масло, яйца",280₽,"160,00 / 42,8%"
,Пицца маргарита,"Тесто, томаты, сыр, соус фирменный 
(три вида: томатный, песто, чесночный)",150₽,"107,00 / 28,6%"
,Пицца с ветчиной,"Тесто, томаты, маслины, сыр, ветчина (из курицы/индейки), соус фирменный 
(три вида: томатный, песто, чесночный)",170₽,"115,00 / 32%"
,Рис терияки с индейкой,"рис, маринованное мясо индейки (приправа для курицы, копченая паприка, соль, раст.масло), лук красный, болгарский перец, соевый соус, чеснок, сушеный имбирь, масло растительное",350₽,"225,00 / 35,7%"
,Ролл индейка,"тортилья, маринованное мясо индейки (приправа для курицы, копченая паприка, соль, раст.масло), майонез с чесноком, томатный соус, томаты, огурец, айсберг",330₽,"220,00 / 33,3%"
,Ролл курица,"тортилья, маринованное мясо курицы (приправа для курицы, копченая паприка, соль, раст.масло), соус карри, томаты, огурец, айсберг. 
Состав соуса карри: майонез, соус гриль, масло раст., соевый концентрат, карри, горчица, суш.имбирь, сахар, кинза",330₽,"220,00 / 33,3%"
,Ролл креветка,"тортилья, креветка, крем-чиз, томаты, огурец, айсберг, соус спайси (майонез и соус чили), соус песто. 
Маринад креветки: соль, пров.травы, масло раст.",380₽,"240,00 / 36,8%"
,Ролл сёмга,"Тортилья, лосось, крем чиз, айсберг, соус песто, огурец, томаты",320₽,"205,00 / 35,9%"
,Онигурадзу жареный сыр,"Нори, рис, жареный адыгейский сыр, айсберг, болгарский перец, огурец, майонез, кунжут, соусы: терияки, чатни (томатный соус с гвоздикой). Подается с соевым соусом",320₽,"150,00 / 53,1%"
,Онигурадзу индейка,"Нори, рис, индейка, айсберг, болгарский перец, огурец, крем чиз, кунжут, соусы: терияки, чатни (томатный соус с гвоздикой). Подается с соевым соусом",320₽,"165,00 / 48,4%"
,Онигурадзу краб ,"нори, рис, крабовые палочки, огурец, айсберг, крем-чиз, майонез, икра масаго (икра мойвы), терияки, кунжут. Подается с соевым соусом",450,"250,00 / 44,4%"
,Онигурадзу креветка,"нори, рис, маринованная креветка, огурец, айсберг, крем-чиз, соус спайси, терияки, кунжут. Подается с соевым соусом. 
Маринад креветки: соль, пров.травы, масло раст.",450,"250,00 / 44,4%"
,Онигурадзу креветка Том Ям  ,"Нори, рис, креветки 2 шт, соус тоям, айсберг, огурец, грибы шитаки, кунжут, терияки. 
Соус том ям состав: паста том ям, майонез, кокосовая стружка молотая, специя чили, сахар.
Подается с соевым соусом",450,"250,00 / 44,4%"
,Онигурадзу сёмга,"нори, рис, семга, огурец, майонез, айсберг, крем-чиз, терияки, кунжут. Подается с соевым соусом",450,"250,00 / 44,4%"
,Онигурадзу шеф,"нори, рис, семга, креветка, огурец, айсберг, крем-чиз,  майонез, икра масаго, соус чили, терияки, кунжут.
Подается с соевым соусом",480₽,"320,00 / 33,3%"
,Отбивная из курицы,"куриная грудка, мука, раст.масло, майонез, томаты, сыр моцарелла, свежий огурчик, картофель айдахо в прованских травах, кудрявая петрушка",420₽,"310,00 / 26,1%"
,Салат Баклажан ,"жареный баклажан в панировке, крем чиз, томаты, айсберг, орех грецкий, соус сладкий чили",350₽,"220,00 / 37,1%"
,Салат Цезарь с курицей ,"куриное филе гриль, айсберг, томаты, сухарики, сыр пармезан, яйцо перепелинное, соус цезарь (майонез, карри, олив.масло, соевый соус, чеснок, кинза)",350₽,"220,00 / 37,1%
"
,Сэндвич Мясной ,"Хлеб тостовый, курица запеченная в специях, ветчина свиная Балык (копченая), маринованные огурчики, айсберг, соус фирменный (три вида: барбекю, горчичный, гриль)",280₽,"200,00 / 28,5%"
,Сэндвич Цезарь,"хлеб тостовый, курица запеченная в специях, маринованные огурчики, сыр, айсберг, соус фирменный (два вида: барбекю, цезарь)",350₽,"250,00 / 28,5%"
,Сэндвич Итальянец,"хлеб тостовый, адыг.сыр, майонез, чеснок, запеченные томаты, куриный рулет, зеленый базилик свежий, соус цезарь",350₽,"250,00 / 28,5%"
,Сэндвич Ветчина и сыр,"Хлеб тостовый, мясо свинины копченое (Балык), айсберг, сыр, соус фирменный (три вида: барбекю, горчичный, сырный)",280₽
,Шашлычок куриный,"Филе курицы или индейки в маринаде из соусов: чили, соевый, масло растительное. Овощи свежие: огурчик, черри, петрушка. Кунжут. Подается с томатным соусом",300₽,"210,00 / 30%"
