 ХОЛОДНЫЕ ЧАИ                                                                                                                                                                       ,               Х О Л О Д Н Ы Е    Ч А И
,АЙС ТИ,,,,Чай Апельсин АЙС,,,,Чай Глинтвейн АЙС,,,,Чай Клюква АЙС,,,,Чай Облепиха АЙС
,Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения
,Чай весовой,5,гр,,Сок апельсин (1л) ,100,гр,,Сок вишневый (1л) ,100,гр,,Сок апельсин (1л) ,100,гр,,Сок персик (1л) ,100,гр
,Сироп сахарный,20,гр,,Апельсин,40,гр,,Лимон ,20,гр,,Лимон ,20,гр,,Лимон ,20,гр
,Лимон,20,гр,,Сироп маракуйя,20,гр,,Апельсин,20,гр,,Апельсин,20,гр,,Апельсин,20,гр
,Апельсин,20,гр,,Мята,,,,Сироп,20,гр,,Варенье клюквенное,40,гр,,Варенье облепиховое,40,гр
,Мята,,,,выход,160,гр,,Мята,,,,Мята,,,,Мята
,выход,65,гр,,,,,,выход,160,гр,,выход,180,гр,,выход,180,гр
,"АЙС ТИ у нас есть как на классическом чае, так и на авторском. Это будет холодный чай на выбор либо из классического заварного чая, либо из наших авторских
(апельсиновый, глинтейн, клюквенный, облепиховый)",,,,"Апельсиновый чай – это напиток на основе апельсинового сока с добавлением апельсина, мяты и сиропа Маракуйи     ",,,,"Чай Глинтвейн – это пряный напиток на основе вишневого сока с добавлением апельсина, лимона, мяты и специй (корица, бадьян, кардамон), а также сиропа гренадин             ",,,,"Клюквенный чай – это напиток на основе апельсинового сока и клюквенного варенья, в который добавляется лимон, апельсин, мята",,,,"Облепиховый чай – это напиток на основе персикового сока и облепихового варенья, в который добавляется лимон, апельсин, мята.   "
,"Шаг 1: Заварить чай в питчере с помощью сетки для заварки чая
Шаг 2: Взять большой стакан ""бамбл Б"" и отжать в нем сок из цитрусов (2 большие дольки лимона и 2 большие дольки апельсина), мяты (одна щепотка)
Шаг 3: Добавить лёд в стакан, наполнив стакан доверху
Шаг 4: Добавить сахарный сироп в стакан 
Шаг 5: Влить до верха стакана заваренный чай
Шаг 6: Взять барную ложку и размешать цитрусы, подняв их со дна стакана
Шаг 7: Закрыть крышкой стакан и отдать напиток гостю",,,,"Шаг 1: Стакан большой ""бамбл Б"" наполнить полностью льдом 
Шаг 2: Приготовить в питчере Апельсиновый чай 
Шаг 3: Содержимое влить в стакан и перемешать
Шаг 4: Закрыть крышкой и отдать гостю заказ. Готово!  ",,,,"Шаг 1: Стакан большой ""бамбл Б"" наполнить полностью льдом 
Шаг 2: Приготовить в питчере Чай Глинтвейн
Шаг 3: Содержимое влить в стакан и перемешать
Шаг 4: Закрыть крышкой и отдать гостю заказ. Готово!  ",,,,"Шаг 1: Стакан большой ""бамбл Б"" наполнить полностью льдом 
Шаг 2: Приготовить в питчере Чай Клюква
Шаг 3: Содержимое влить в стакан и перемешать
Шаг 4: Закрыть крышкой и отдать гостю заказ. Готово!  ",,,,"Шаг 1: стакан большой ""бамбл Б"" наполнить полностью льдом 
Шаг 2: приготовить в питчере Чай Облепиха
Шаг 3: содержимое влить в стакан и перемешать
Шаг 4: закрыть крышкой и отдать гостю заказ. Готово!  "

НЕ ЧАЙ  /  НЕ КОФЕ,НЕ ЧАЙ  /  НЕ КОФЕ
,Лимонад,,,,Матча айс  /  Матча айс на альт. молоке,,,,Молочный коктейль Б,,,,"Мохито
"
,Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения
,Сироп сахарный,20,гр,,Матча айс,4,гр,,Молоко,150,гр,,Спрайт,200,гр
,Сироп гренадин,30,гр,,Молоко / альт. молоко,200,гр,,Сливки растительные,80,гр,,Лайм,30,гр
,"Минеральная вода (1,5л)",180,гр,,выход,204,гр,,Топпинг (украшение),10,гр,,Сахар тростниковый,10,гр
,Лимон,20,гр,,,,,,выход,240,гр,,Мята
,Апельсин,20,гр,,,,,,,,,,выход,240,гр
,выход,270,гр,,,,,,"Молочный коктейль мы готовим на альтернативных сливках со вкусом пломбира если гость захочет с сиропом, то позиция пробивается отдельно, так как сам по себе молочный коктейль уже сладкий засчет растительных сливок"
,"Цитрусовый лимонад содержит в себе апельсин, лимон и мяту и сироп гранат, подается с содовой",,,,"Это мелко перетертый зеленый чай, который взбит с молоком и подается в стакане со льдом. Можем приготовить на альтернативном молоке",,,,,,,,"Мохито у нас идет в классическом исполнении. Содержит в себе мяту, лайм, спрайт, мы готовим его не на сиропе, а с тростниковым сахаром"
