,Наименование позиции,Состав,Цена
,Торт Три шоколада,"Шоколад слоями (темный, молочный, белый), 
молочный соус (яичные желтки, желатин, взбитые сливки),
взбитые сливки",350₽,"215,00 / 38,5%"
,Торт Шоколадное мороженое,"Шоколадный бисквит, крем-чиз с шоколадом (темный и молочный), 
трюфельная прослойка (темный шоколад + сливки)",350₽,"215,00 / 38,5%"
,Тыквенный пирог,"Мука, яйцо, сливочное масло, пряные специи (корица, мускатный орех, имбирь, гвоздика), сахар, тыква, сок апельсиновый, мёд, орех грецкий, семечки тыквенные. Сверху полит карамелью.",270₽,"130,00 / 51,8%"
,"Чизкейк классический
(Нью-йорк)","Основа - песочное тесто, чизкейк творожный сыр с ванилью, сливки, сахар, загуститель - желатин",350₽,"215,00 / 38,5%"
,Чизкейк Лимонный,"Основа - песочное тесто. 
Творог, творожный сыр, лимон (цедра и сок), сливки, сахарная пудра, желатин. Сверху лимонный курд (желатин, яичные желтки, сливки, лимонный сок, сахар)",350₽,"215,00 / 38,5%"
,Чизкейк МАРАКУЙЯ,"Основа - печенье, масло
Крем-чиз, натуральные сливки, яйцо, сахар, ванильный сахар
Сверху натуральное пюре маракуйя с косточкой и пюре манго",380₽,"220,00 / 42%"
,Чизкейк САН СЕБАСТЬЯН,,380₽,"220,00 / 42%"
,"Чизкейк Шоколадно-
апельсиновый","Творожный сыр креметте, шоколад темный, апельсин (цедра и сок), сливки 33%, желатин. Основа - песочная шоколадная",350₽,"215,00 / 38,5%"
,Чизкейк Ягодный,"Основа - песочное тесто. 
Сам чиз - творожный сыр, чёрная смородина, сливки натуральные, желатин. 
Сверху покрыт шоколадом",350₽,"215,00 / 38,5%"
,Эстерхази,"Коржи - белок, сахар и грецкий орех. 
Заварной крем (яичные желтки, молоко, сливочное масло с вареной сгущенкой. Малиновый джем, покрыт сверху глазурью из белого шоколада и сливок",350₽,"215,00 / 38,5%"
,,,350₽,"215,00 /"
"Николаев.Доставка
(эклеры, кольцо с творогом)",Кольцо с Творогом,"Состав: мука пшеничная, масло сливочное, соль, сахар, яйцо куриное, молоко, фисташковая паста, глазурь шоколадная",150 ₽,"78,00 / 48%"
,Эклеры,"Ванильный
Состав: мука пшеничная, масло сливочное, соль, сахар, яйцо куриное, молоко",170₽,"115,00 / 32,3%"
,,"Шоколадный
Состав: мука пшеничная, масло сливочное, соль, сахар, яйцо куриное, молоко, шоколад черный, шоколадная глазурь"
,,"Малиновый
Состав: мука пшеничная, масло сливочное, соль, сахар, яйцо куриное, молоко, пюре малины, глазурь шоколадная"
,,"Кокосовый
Состав: мука пшеничная, масло сливочное, соль, сахар, яйцо куриное, молоко, молоко кокосовое, кокосовая стружка, глазурь шоколадная"
,,"Клубника
Состав: мука пшеничная, масло сливочное, соль, сахар, яйцо куриное, молоко, пюре клубники, глазурь шоколадная"
,,"Экзотик
Состав: мука пшеничная, масло сливочное, соль, сахар, яйцо куриное, молоко, пюре манго, пюре маракуйя, пюре лайм"
,,"Фисташковый
Состав: мука пшеничная, масло сливочное, соль, сахар, яйцо куриное, молоко, фисташковая паста, глазурь шоколадная"
