    АЛЬТЕРНАТИВА,        А Л Ь Т Е Р Н А Т И В А
,Батч (варка),,,,Дрип в стакан с собой,,,,Кофе СССР
,Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения
,Зерно бункер батч,75,гр,,"Дрип (1 шт/ 11,5 гр)",1,шт,,"Дрип Бэрри (1 шт/ 11,5 гр)",1,шт
,Вода,1250,гр,,Вода ,3,пролива,,Сгущенка,30,гр
,выход,1325,гр,,,,,,Вода ,3,пролива
,,,,,,,,,выход,34,гр

,"Процесс приготовления батч (актуально только для Самокиша): 
1. Помолоть зерно(75г) «батч брю» на маленьком гриндере с отметкой помола 34
2. Вставить фильтр пакет в воронку капельной кофеварки и смочить кипятком
3. В резервуар для воды залить 1250 гр воды
4. Высыпать молотый кофе в фильтр смоченный водой, установить на кофемашину и включить ее",,,,"Дрип кофе – это черный кофе. 
Изначально он идет в фильтр пакете. У этого фильтр пакета есть два бумажных ушка с помощью которых его можно надеть на стакан. Заваривается дрип путем фильтрации, то есть этот пакетик проливается водой в районе 95 градусов 3 раза доверху и профильтровывается. 
У нас в кофейне Дрип можно приобрести как в виде пакетика, так и в готовом виде, как напиток",,,,"Кофе СССР – это наш новый взгляд на старый хит. Это Дрип кофе ""Бэрри"" с добавлением сгущенки, который взбивается капучинатором."


,Батч М (с собой в стакан) ,,,,Батч Б (с собой в стакан) 
,Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения
,Зерно бункер батч,12,гр,,Зерно бункер батч,18,гр
,выход,12,гр,,выход,18,гр

,"Батч Брю – это фильтр кофе, приготовленный фильтрованным методом приготовления при помощи капельной кофеварки. Ближайшая аналогия к батч брю, если человек не знает что это такое, то можно сказать, что именно этот кофе разливают в американских фильмах в кафе. "
