   СМУЗИ И ФРЕШ,      С М У З И    И    Ф Р Е Ш 
,Смузи Клубника-банан,,,,Смузи желтый,,,,Смузи зеленый (Детокс)
,Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения
,Сливки растительные,30,гр,,Банан,60,гр,,Яблоко / киви,50,гр
,Молоко,180,гр,,Персик / абрикос,80,гр,,Банан,60,гр
,Банан,90,гр,,Сок апельсиновый,150,гр,,Шпинат,50,гр
,Клубника,50,гр,,Сироп маракуйя,20,гр,,Сельдерей,50,гр
,Сироп сахарный,10,гр,,Вода,100,гр,,Лимон,15,гр
,выход,360,гр,,выход,410,гр,,Вода,250,гр
,"Смузи клубника банан – это единственный смузи, который у нас идет на сливочной основе. Содержит в себе альтернативные сливки (со вкусом пломбира), молоко, клубнику, банан, сахарный сироп (по желанию гостя) и лед",,,,,,,,выход,475,гр
,,,,,"Смузи желтый – это смузи на основе апельсинового сока с добавлением персика (либо абрикоса), добавлением банана, а также сиропом Маракуйя",,,,"Смузи детокс – этот единственный смузи, который состоит на водной основе. Состоит из шпината, сельдерея, зеленого яблока, банана, мяты, лимонного сока"

,"Шаг 1: В колбу блендера добавить: 4-8 кубика льда, заморозку клубника, банан
Шаг 2: Добавить сливки растительные, молоко, сахарный сироп и закрыть крышкой
Шаг 3: Взбить содержимое на 5 режиме / режим ""Смузи""
Шаг 4: Налить в стакан большой ""бамбл Б"", закрыть крышкой стакан и отдать напиток гостю",,,,"Шаг 1: В колбу блендера добавить: 2-6 кубиков льда (в зависимости от размера кубиков и температуры на улице)
Шаг 2: Добавить заморозку банан, персик, налить в колбу сироп Маракуйя, сок и воду 100 гр
Шаг 3: Взбить содержимое на 5 режиме / режим ""Смузи""
Шаг 4: Налить в стакан большой ""бамбл Б"", закрыть крышкой стакан и отдать напиток гостю",,,,"Шаг 1: В колбу блендера добавить: заморозку киви, банан, шпинат, сельдерей, 4-5 лепестка мяты
Шаг 2: Выжать 2 дольки лимона или налить лимонный сок в колбу, налить воду 250 гр и закрыть крышкой
Шаг 3: Взбить содержимое на 5 режиме / режим ""Смузи""
Шаг 4: Налить в стакан большой ""бамбл Б"", закрыть крышкой стакан и отдать напиток гостю"


,"Смузи Красный (ягодный)
",,,,Фреш
,Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения
,Сок вишневый,100,гр,,Апельсин,650,гр
,Сироп сахарный,20,гр,,выход,510,гр
,Черника / черн. смородина,80,гр
,Клубника,80,гр
,Вода,90,гр
,выход,370,гр
,"Ягодный смузи – это смузи на основе вишневого сока с добавлением черники, клубники, а также с сахарным сиропом (по желанию гостя) ",,,,В нашей кофейни один выбор свежевыжатого Фреша – апельсиновый
,"Шаг 1: В колбу блендера добавить: лед 2-6 кубиков (в зависимости от размера кубиков и температуры на улице)
Шаг 2: Добавить заморозоку чернику, клубнику, вишневый сок, налить в колбу сахарный сироп, воду
Шаг 3: Взбить содержимое на 5 режиме / режим ""Смузи""
Шаг 4: Налить в стакан большой ""бамбл Б"", закрыть крышкой стакан и отдать напиток гостю",,,,"Шаг 1: Уточнить у гостя фреш делать со льдом или без
Шаг 2: В зависимости от ответа – выжать 3-4 апельсина с помощью соковыжималки в стакан 300 мл (или бамбл М)"
