"ВАЖНО! На всю продукцию, через 3 дня после поступления выставляется скидка 25%. 
Если в понедельник вы получили продукцию, то день скидки отсчитываем со вторника, тогда в этом случае в четверг вечером выставляем скидку 25%. 

Не выставляем скидки на позиции: 
Макаронс, Трубочки / Орешки со сгущенкой"





Десерты,,,Еда соленая
Наименование,Когда списываем?,,Наименование,Когда списываем?
"Десерт 300
(Меренговый рулет Ягодный / Шоколадный, Киевский, Наполеон, Прага, Пряная вишня, Сникерс, Три шоколада, Шоколадное мороженое, Чизкейк Нью-йорк, Чизкейк Лимонный, Чизкейк Шоколадно-апельсиновый, Чизкейк Ягодный, Эстерхази)",На утро 6-го дня списываем позицию,,"Блины 
с ветчиной и сыром
с курицей и грибами
с творогом",На утро 6-го дня списываем позицию
Моти,,,Сырники
Тыквенный пирог,,,Чиабатта
Чизкейк МАРАКУЙЯ,,,"Боулы 
с индейкой
с семгой","На утро 6-го дня списываем позицию

Важно! Проверяем овощи каждое утро на наличие плесени, когда выставлена скидка 25%"
Муравейник,На утро 7-го дня списываем позицию,,Салат Баклажан
Пирожное Шу / Профитроль карамельный,"На утро 6-го дня списываем позицию
",,Салат Цезарь 
Тарталетка лимонная,На утро 6-го дня списываем позицию,,Куриная отбивная с картофелем,На утро 5-го дня списываем позицию
Тарталетка с орешками,На утро 9-го дня списываем позицию,,"Умами 
соба / удон
рис
гречка"
Эклеры,На утро 7-го дня списываем позицию,,Рис терияки
,,,"Роллы 
с курицей
с индейкой
с креветкой",На утро 5-го дня списываем позицию
,,,"Онигурадзу
с семгой
с креветкой
с крабом
шеф",На утро 5-го дня списываем позицию
,,,Сосиски в тесте,"На утро 4-х суток

Важно! на ночь сосиски убираем в холодильник"
,,,Сэндвичи,На утро 7-го дня списываем позицию
