
,Заготовки        
,Крупы для боулов: 
,Киноа для боула с рыбой (заготовка на 1 кг)
,Кус-кус для боула с индейкой
,Маринованное мясо / рыба
,Маринованное мясо птицы 
,Маринованная семга (слабосоленая)
,Начосы для боула с индейкой
,Рис для онигурадзу и терияки
,Рисовый уксус
,Сухарики для салата Цезарь


,Боулы / Рис терияки
,Боул рыба
,Боул индейка
,Рис индейка терияки

,Онигурадзу
,Онигурадзу краб
,Онигурадзу с креветкой
,Онигурадзу с семгой
,Онигурадзу шеф

,Отбивная куриная / Шашлык
,Отбивная куриная

,Роллы
,Ролл с индейкой
,Ролл с креветкой
,Ролл с курицей гриль

,Салаты
,Салат Баклажан
,Салат Цезарь Курица

,Сэндвичи

,Соусы
,Соус Песто
,Соус Сметанный
,Соус Соевый
,Соус Спайси (на 1 кг)
,Соус Сырный
,Соус Томатный
,Соус Цезарь
,Соус Чесночный
