Калькуляция,,,,,,Калькуляция
Боул с индейкой,,,,,,Боул с семгой
Наименование ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб.",,Наименование ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб."
Птитим готовый,кг,"85,50","0,080","6,84",,Киноа готовое,кг,"318,04","0,045","14,31"
Кукуруза консервированная,кг,"197,65","0,050","9,88",,Сёмга,кг,"3400,00","0,030","102,00"
Огурец свежий,кг,"120,97","0,050","6,05",,Петрушка кудрявая,кг,"1142,86","0,005","5,71"
Болгарский перец,кг,"213,41","0,050","10,67",,Болгарский перец,кг,"213,41","0,050","10,67"
Масло растительное,кг,"130,00","0,005","0,65",,Масло растительное,кг,"130,00","0,005","0,65"
Соль,кг,"35,00","0,001","0,04",,Соль,кг,"35,00","0,001","0,04"
Мясо индейки готовое,кг,"1020,93","0,040","40,84",,Огурец,кг,"120,97","0,050","6,05"
Зелень (кудрявая петрушка),кг,"1142,86","0,002","2,29",,Адыгейский сыр (жареный),кг,"912,92","0,045","41,08"
Соус терияки,кг,"172,00","0,010","1,72",,Карри (для адыг. сыра),кг,"400,00","0,001","0,40"
Кунжут,кг,"350,00","0,002","0,70",,Кунжут,кг,"350,00","0,002","0,70"
Начосы,кг,"16,49","3,000","49,47",,Соус спайси,кг,"166,10","0,025","4,15"
Соус сметанный,кг,"380,16","0,025","9,50",,Соус Терияки,кг,"172,00","0,005","0,86"
Итого:,,,,"138,64",,Итого:,,,,"186,62"

Выход,"0,315",,,,,Выход,"0,259"
Стоимость работы,"50,00",,,,,Стоимость работы,"50,00"
Коммунальные,"10,00",,,,,Коммунальные,"10,00"
Упаковка + вилка,"22,64",,,,,Упаковка + вилка,"22,64"
Соусничка,"2,00",,,,,Соусничка,"2,00"

ИТОГО,"223,28",,,,,ИТОГО,"271,26"



Калькуляция
"НАЧОСЫ 
(для боула с индейкой)"
Наименование ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб."
Тортилья пшеничная,кг,"3,33","3,000","9,99"
Масло растительное,кг,"130,00","0,050","6,50"
Итого:,,,,"16,49"

Выход,"0,05"

ИТОГО,"16,49"
