Калькуляция,,,,,,Калькуляция,,,,,,Калькуляция
Ролл с курицей гриль,,,,,,Ролл с индейкой,,,,,,Ролл с креветкой
Наименование ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб.",,Наименование ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб.",,Наименование ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб."
Тортилья пшеничная,шт,"13,30","1,000","13,30",,Тортилья пшеничная,шт,"13,30","1,000","13,30",,Тортилья пшеничная,шт,"13,30","1,000","13,30"
Соус карри,гр,"325,13","0,040","13,01",,Томатный соус,гр,"141,22","0,020","2,82",,Творожный сыр,кг,"557,00","0,020","11,14"
Куриное филе готовое,кг,"639,60","0,040","25,58",,Филе индейки готовое,кг,"1020,93","0,040","40,84",,Креветка готовая,кг,"2400,00","0,030","72,00"
Салат айсберг,кг,"150,00","0,065","9,75",,Айсберг,кг,"150,00","0,065","9,75",,Салат айсберг,кг,"150,00","0,065","9,75"
Огурец свежий,кг,"120,97","0,015","1,81",,Огурец,кг,"120,97","0,015","1,81",,Огурец свежий,кг,"120,97","0,015","1,81"
Помидор свежий,кг,"110,00","0,030","3,30",,Помидор,кг,"110,00","0,025","2,75",,Помидор свежий,кг,"110,00","0,025","2,75"
Итого:,,,,"66,75",,Соус Чесночный,кг,"647,26","0,035","22,65",,Соус спайси,кг,"183,68","0,030","5,51"
,,,,,,Итого:,,,,"93,93",,Песто,кг,"475,03","0,010","4,75"
Выход ролла 230гр,"0,190",,,,,,,,,,,Итого:,,,,"121,02"
Стоимость работы,"50,00",,,,,Выход ролла,"0,200"
Коммунальные,"10,00",,,,,Стоимость работы,"50,00",,,,,Выход ролла,195
Упаковка,"5,00",,,,,Коммунальные,"10,00",,,,,Стоимость работы,"50,00"
,,,,,,Упаковка,"5,00",,,,,Коммунальные,"10,00"
ИТОГО,"131,75",,,,,,,,,,,Упаковка,"5,00"
,,,,,,ИТОГО,"158,93"
,,,,,,,,,,,,ИТОГО,"186,02"
