Калькуляция,,,,,,Калькуляция
Салат Баклажан,,,,,,Салат Цезарь
Наименование ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб.",,Наименование ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб."
Баклажан ,кг,"340,91","0,080","27,27",,Курица готовая,кг,"639,60","0,050","31,98"
Сыр творожный ,кг,"557,00","0,030","16,71",,Салат айсберг,кг,"150,00","0,070","10,50"
Помидор свежий,кг,"110,00","0,050","5,50",,Помидор свежий,кг,"110,00","0,040","4,40"
Соус чили сладкий,кг,"225,00","0,018","4,05",,Сухарики,кг,"715,85","0,020","14,32"
Салат айсберг,кг,"150,00","0,070","10,50",,Сыр пармезан,кг,"1452,20","0,015","21,78"
Грецкий орех,кг,"500,00","0,010","5,00",,Яйцо перепелиное,шт,"6,50","1,000","6,50"
Крахмал,кг,"200,00","0,010","2,00",,Соус Цезарь,кг,"202,00","0,025","5,05"
Растительное масло,кг,"130,00","0,030","3,90",,Итого:,,,,"94,53"
Итого:,,,,"74,93"
,,,,,,Выход салата,"0,220"
Выход салата,"0,298",,,,,Стоимость работы,"50,00"
Стоимость работы,"50,00",,,,,Коммунальные,"10,00"
Коммунальные,"10,00",,,,,Упаковка + вилка,"22,64"
Упаковка + вилка,"15,00",,,,,Соусничка,"2,00"
Соусничка,"2,00"
,,,,,,ИТОГО,"179,17"
ИТОГО,"151,93"


,,,,,,Калькуляция
,,,,,,Сухарики к Салату Цезарь
,,,,,,Наименование ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб."
,,,,,,Батон,шт,"85,00","1,000","85,00"
,,,,,,Чесночный соус,кг,"647,26","0,050","32,36"
,,,,,,Итого:,,,,"117,36"

,,,,,,Выход,"0,164"
,,,,,,Цена за 1 кг,"715,85руб."
,,,,,,ИТОГО,"117,36"
