Соус Песто,,,,,,Соус Карри,,,,,,Соус Цезарь,,,,,,Томатный соус,,,,,,"Соус Чесночный 
(майонез с чесноком)"
Наименование ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб.",,Наименование ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб.",,Наименование ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб.",,Наименование ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб.",,Наименование ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб."
Оливковое масло,л,"400,00","0,200","80,00",,Майонез,кг,"169,90","1,000","169,90",,Майонез,кг,"169,90","0,500","84,95",,Паста томатная,кг,"179,00","0,500","89,50",,Чеснок,кг,"974,03","0,200","194,81"
Растительное масло,кг,"130,00","0,200","26,00",,Кинза,кг,"435,53","0,030","13,07",,Карри,кг,"400,00","0,005","2,00",,Вода,л,"0,00","0,200","0,00",,Майонез,кг,"169,90","0,100","16,99"
Орехи кешью,кг,"800,00","0,100","80,00",,Соус гриль,кг,"710,00","0,500","355,00",,Оливковое масло,л,"128,57","0,020","2,57",,Масло растительное,кг,"130,00","0,050","6,50",,Уксус 9%,кг,"60,00","0,030","1,80"
Соль,кг,"35,00","0,020","0,70",,Масло растительное,кг,"130,00","0,10","13,00",,Сок лимона,кг,"180,00","0,200","36,00",,Уксус 9%,кг,"60,00","0,010","0,60",,Итого:,,,,"213,60"
Пармезан,кг,"1452,20","0,050","72,61",,Соевый концентрат,кг,"98,25","0,05","4,91",,Соевый соус,л,"98,25","0,010","0,98",,Кинза,кг,"435,53","0,040","17,42"
Базилик (сушеный/свежий),кг,"568,18","0,100","56,82",,Карри,кг,"400,00","0,03","12,00",,Чеснок,кг,"974,03","0,015","14,61",,Сахар,кг,70,"0,1","7,00",,Выход соуса,,,"0,330"
Чеснок,кг,"974,03","0,010","9,74",,Горчица русская,кг,"128,57","0,03","3,86",,Жидкий дым,л,"370,00","0,002","0,74",,Соль,кг,35,"0,015","0,53",,Стоимость за 1кг ,,,"647,26руб."
Лимон,кг,"180,00","0,010","1,80",,Имбирь (сушенный),кг,,"0,02","0,00",,Горчица,кг,"128,57","0,010","1,29",,Черный перец молотый,кг,"1100,00","0,008","8,80"
Итого:,,,,"327,67",,Сахар,кг,70,"0,03","2,10",,Кинза,кг,"435,53","0,010","4,36",,Итого:,,,,"130,35"
,,,,,,Итого:,,,,"573,84",,Итого:,,,,"147,50"
Выход соуса,,,"0,690",,,,,,,,,,,,,,,Выход соуса,,,"0,923"
Стоимость за 1кг ,,,"475,03руб.",,,Выход соуса,,,"1,790",,,Выход соуса,,,"0,772",,,Стоимость за 1кг,,,"141,22руб."
,,,,,,Стоимость за 1кг ,,,"325,13руб.",,,Стоимость за 1кг ,,,"202,00руб."



Соевый соус,,,,,,Соус Масаго ,,,,,,Спайси соус,,,,,,"Спайси соус
(для боула с семгой)",,,,,,Соус Шеф
Наименование ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб.",,Наименование ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб.",,Наименование ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб.",,Наименование ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб.",,Наименование ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб."
Вода ,кг,"0,00","0,500","0,00",,Икра масаго,кг,"1036,00","0,500","518,00",,Майонез,кг,"169,90","0,750","127,43",,Майонез,кг,"169,90","0,750","127,43",,Икра масаго,кг,"1036,00","0,500","518,00"
Соевый концентрат ,кг,"98,25","0,500","49,13",,Майонез,л,"169,90","0,500","84,95",,Чили сладкий,кг,"225,00","0,250","56,25",,Чили сладкий,кг,"225,00","0,250","56,25",,Майонез,кг,"169,90","0,500","84,95"
Итого:,,,,"49,13",,Итого:,,,,"602,95",,Итого:,,,,"183,68",,Молоко,кг,"107,50","0,300","32,25",,Чили сладкий,кг,"225,00","0,080","18,00"
,,,,,,,,,,,,,,,,,,Итого:,,,,"215,93",,Итого:,,,,"620,95"
Выход соуса,,,"1,000",,,Выход соуса,,,"1,000",,,Выход соуса,,,"1,000"
Стоимость за 1кг ,,,"49,2",,,Стоимость за 1кг ,,,"602,95руб.",,,Стоимость за 1кг ,,,"183,68руб.",,,Выход соуса,,,"1,300",,,Выход соуса,,,"1,080"
,,,,,,,,,,,,,,,,,,Стоимость за 1кг ,,,"166,10руб.",,,Стоимость за 1кг,,,575



"Соус Сметанный 
(для боула с индейкой)"
Наименование ингредиента,Ед.измерения,"Цена, руб.",Количество,"Стоимость, руб."
Сметана,кг,"280,00","0,400","112,00"
Чесночный соус,кг,"647,26","0,150","97,09"
Итого:,,,,"209,09"

Выход соуса,,,"0,550"
Стоимость за 1кг ,,,"380,16руб."
