Наименование,Общее кол-во,Луговая,Тургенева,Самокиша
Белый шоколад ВАНИЛЬНОЕ НЕБО,7,1,2,4
Белый шоколад ГРЕШЬЮ,4,,,4
Белый шоколад КЛУБНИЧНЫЙ СОРБЕТ,1,1
Белый шоколад ПЛАНЕТА АРАХИС,3,,3
Белый шоколад ТРОПИКАНО,1,1
Горячий шоколад в стружке МОЛОЧНЫЙ НА БАЗУ 59% (300 г),3,,3
Горячий шоколад в стружке Пряная клубника / Темный трюфель (1 кг),6,,6
Драже КОФЕСТАШКА,5,,4,1
КАКАВА на чашку (Закуп),49,8,40,1
Какао классический UNICAVA 200 гр,3,1,1,1
Молочный шоколад ГРЕЧИШКА,4,4
Молочный шоколад Доминикана Око-Caribe 59 %,5,1,2,2
Молочный шоколад ИНДОНЕЗИЯ West bali 50% какао,1,,,1
Молочный шоколад КАПУЧИНО НА КОКОСЕ,6,2,1,3
Молочный шоколад КАРАМЕЛЬНЫЙ LEMON CURD,3,2,1
Молочный шоколад Колумбия ANEI 59 %,6,1,2,3
Молочный шоколад МОЛОЧНЫЙ ЭРИТРИТ,6,2,3,1
Молочный шоколад неДубайский,10,3,6,1
Молочный шоколад ТАЙНА ВОНКИ,3,,2,1
Плитка  КЛУБНИЧНЫЙ СОРБЕТ Б.ш. / 50 гр,2,1,1
Плитка ГОНДУРАС М. ш. / 50 гр,4,2,2
Плитка ДАРК МИЛК М.ш. / 50 гр,9,3,5,1
Плитка ПЕРУ Мараньон М.ш. / 50 гр,3,,2,1
Плитка РАФАЭЛЬ  Б.ш. / 50 гр,3,2,1
Плитка СЛАДКАЯ ТЫКОВКА / 50 гр,3,1,1,1
Плитка ТАИЛАНД Chanthaburi / 50 гр,5,2,3
Плитка ТАЙНА ВОНКИ / 50 гр,2,1,1
Плитка Шмель Б.ш. / 50 гр,1,,,1
Темный шоколад 70% ДОМИНИКАНА,5,1,4
Темный шоколад ВЬЕТНАМ OCA 70%,5,1,4
Темный шоколад Индонезия Ransiki 70 %,6,1,5
Темный шоколад Индонезия West Bali 70%,9,,9
Темный шоколад Колумбия ANEI 70 %,6,1,5
Темный шоколад ЛИМОННЫЙ БАЗИЛИК,1,,1
Темный шоколад МАНГО В КУБЕ,18,4,10,4
Темный шоколад Мексика Tabasco Lavado 70%,6,,6
Темный шоколад НА КОКОСЕ Semuliki / 70% какао,3,,3
Темный шоколад НА ЭРИТРИТЕ 70%,6,1,3,2
Темный шоколад НИКАРАГУА 70%,1,,1
Темный шоколад ОРЕХОВЫЙ ВАЙБ,16,3,12,1
Темный шоколад ПЕРУАНСКАЯ ВИШНЯ,4,,4
Темный шоколад ПРЯНАЯ КЛУБНИКА,10,2,8
Темный шоколад ТАИЛАНД 68%,1,,1
Темный шоколад УГАНДА 70%,2,,2
Темный шоколад УГАНДА 88%,2,,2
Темный шоколад УРАЛЬСКАЯ БРУСНИКА,6,1,5
Темный шоколад ЧАЙ С МАЛИНОЙ,1,,1
"Шоколад  НА КУСЬ / Tasty, 5г",703,297,125,281
Шоколад 100% Доминикана,4,,4
Шоколад Гондурас Asopropib 100%,9,,9
Шоколад Индонезия Ransiki 100 %,4,,4
Шоколад Индонезия West Bali 100 %,4,,4
Шоколад Колумбия ANEI 100 %,4,,4
Шоколад Мексика 100%,4,,4
