,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчет по продажам,,,,,,,,,,,,,,,,,,,,,,,,,,
12.03.2026-29.03.2026,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Наша компания: Все юридические лица,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Детализация: Склад, Номенклатура",,,,,,,,,,,,,,,,,,,,,,,,,,
Построен: 30.03.2026,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Кол-во,Ед. изм.,Закупочные цены,,Наценка,,,Продажа,,,,,,,,,,,,,,,,,
,,,,Себест.,Сумма себест.,Наценка %,Сумма наценки,Доля наценки,"Доля, %",Ср. цена,Сумма,,,,,,,,,,,,,,,
Орешки кедр / 8 гр,0,14.0,шт,,,,980.0,,,70.0,980.0,,,,,,,,,,,,,,,
Кофе с молоком персонал М,0,12.0,шт,80.23,962.74,-0.28,-2.74,,,80.0,960.0,,,,,,,,,,,,,,,
Матча,0,3.0,шт,57.4,172.19,457.52,787.81,,,320.0,960.0,,,,,,,,,,,,,,,
Кения Маунт 250 гр,0,1.0,шт,,,,929.0,,,929.0,929.0,,,,,,,,,,,,,,,
Горячий шоколад/какао UNICAVA на чашку (1 шт.),0,3.0,шт,,,,900.0,,,300.0,900.0,,,,,,,,,,,,,,,
Дрип Микролот Tasty (85+) / в стакан,0,4.0,шт,6.9,27.58,3090.72,852.42,,,220.0,880.0,,,,,,,,,,,,,,,
Колумбия Уила 250,0,1.0,шт,,,,859.0,,,859.0,859.0,,,,,,,,,,,,,,,
Американо альт. М,0,4.0,шт,2.82,11.29,7340.21,828.71,,,210.0,840.0,,,,,,,,,,,,,,,
Чай Рухуна 100 гр,0,2.0,шт,,,,838.0,,,419.0,838.0,,,,,,,,,,,,,,,
Колумбия Богота 250,0,1.0,шт,,,,829.0,,,829.0,829.0,,,,,,,,,,,,,,,
Эфиопия сидамо 250,0,1.0,шт,,,,829.0,,,829.0,829.0,,,,,,,,,,,,,,,
Матча айс альт.,0,2.0,шт,2.3,4.6,17726.09,815.4,,,410.0,820.0,,,,,,,,,,,,,,,
Умами ГРЕЧКА / РИС,0,2.0,шт,225.0,450.0,66.67,300.0,,,375.0,750.0,,,,,,,,,,,,,,,
Матча альт,0,2.0,шт,4.47,8.94,8177.4,731.06,,,370.0,740.0,,,,,,,,,,,,,,,
Кэнди 250,0,1.0,шт,,,,719.0,,,719.0,719.0,,,,,,,,,,,,,,,
