  Наименование,,Кол-во (должно быть),,,,Всего должно быть,По факту,Не хватает,💰Цена 💰
,,На баре,,Под баром / в банках
 Кофейный набор
1,Чаша бирюзовая 180 мл,8,TRUE,1,TRUE,9
2,Блюдце бирюзовое,9,TRUE,,,9
3,Стакан белый без блюдца 180 мл,5,TRUE,,,5
4,Синие чаши 300 мл,6,TRUE,2,TRUE,8
5,Синие блюдца 300 мл,8,TRUE,,,8
6,Красные чаши 300 мл,3,TRUE,,,3
7,Красные блюдца 300 мл,3,TRUE,,,3
8,Кружка красная ,2,TRUE,3,TRUE,5
9,Кружка желтая,2,TRUE,3,TRUE,5
10,Кружка бирюзовая,2,TRUE,3,TRUE,5
11,Эспрессо черная чашка,1,TRUE,,,1
12,Эспрессо голубая чашка,1,TRUE,,,1
13,Эспрессо желтая чашка,1,TRUE,,,1
14,Эспрессо желтые блюдца,1,TRUE,,,1
15,Эспрессо голубые блюдца,2,TRUE,,,2
Тарелки
16,Тарелка бежевая большая,8,TRUE,7,TRUE,15
17,Тарелка десертная салатовая,4,TRUE,,,4,,,400 руб
18,Тарелка десертная белая,6,TRUE,,,6,,6,400 руб
19,Тарелка десертная антилопа,5,TRUE,7,TRUE,12
20,Глубокая миска,4,TRUE,2,TRUE,6
21,Соусник под соус,4,TRUE,,,4
22,Конверт для приборов,8,TRUE,8,TRUE,16
Стаканы / чайник
23,Стакан высокий 500 мл,7,TRUE,6,TRUE,13
24,Стакан низкий 300 мл,6,TRUE,8,TRUE,14
25,Конус под коктейль ,2,TRUE,,,2
26,Стакан синий ,6,TRUE,1,TRUE,7
27,Чайник стекло,2,TRUE,,,2
Столовые приборы 
28,Ложки кофейные ,7,TRUE,1,FALSE,8,,-1,150 руб
29,Ложки чайные,11,TRUE,3,TRUE,14,,,200 руб
30,Ножи столовые ,12,TRUE,,,12
31,Вилки столовые ,12,TRUE,,,12
32,Вилки десертные ,6,TRUE



,"Родион 2, Василиса, Алина, Ангелина, Егор, Снежана"



,"Артем, Кристина, Родион, Василиса, Алина, Снежана, Настя"
