,,,,,,,,,,,
ABC и XYZ анализ,,,,,,,,,,,
01.03.2026-30.04.2026,,,,,,,,,,,
,,,,,,,,,,,
Раздел каталога: Шоколад Unicava,,,,,,,,,,,
Наша компания: Наша компания,,,,,,,,,,,
,,,,,,,,,,,
Детализация: Номенклатура,,,,,,,,,,,
"Группы: A: 80, B: 15, C: 5; период: месяц",,,,,,,,,,,
Построен: 17.04.2026,,,,,,,,,,,
,,,,,,,,,,,
,Сумма,,Количество,,,Наценка,,Цена,Себест.,Сумма себест.,"Доля себест, %"
,,,,Ед. изм.,,,,,,,
"Шоколад  НА КУСЬ / Tasty, 5г",5070.0,A,169.0,шт,A,5070.0,A,30.0,0.0,0.0,
Шоколад 100% Доминикана,560.0,C,1.0,шт,C,150.0,C,560.0,410.0,410.0,73.0
Шоколад Вьетнам OCA 100%,580.0,B,1.0,шт,C,580.0,B,580.0,0.0,0.0,
Шоколад Гондурас Asopropib 100%,580.0,B,1.0,шт,C,150.0,C,580.0,430.0,430.0,74.0
Шоколад Индонезия Ransiki 100 %,630.0,B,1.0,шт,C,200.0,C,630.0,430.0,430.0,68.0
Шоколад Индонезия West Bali 100 %,580.0,C,1.0,шт,C,180.0,C,580.0,400.0,400.0,69.0
Шоколад Колумбия ANEI 100 %,580.0,C,1.0,шт,C,180.0,C,580.0,400.0,400.0,69.0
Шоколад Мексика 100%,610.0,B,1.0,шт,C,170.0,C,610.0,440.0,440.0,72.0
Шоколад на кусь / РИТЕР СПОРТ,2640.0,A,48.0,шт,A,2640.0,A,55.0,0.0,0.0,
Шоколад Никарагуа 100%,610.0,B,1.0,шт,C,610.0,B,610.0,0.0,0.0,
