ДЕСЕРТЫ / ЕДА
Вупи пай,100,,-1,1
Десерт 350,150,,-2,2
Кекс творожный,45,,-3,3

Макарон,75,,-5,5
Моти,100,,-6,6
Муравейник,100,,-7,7
Орешки Сгущёнка,65,,-8,8
Пирожное Шу,100,,-9,9
Пряник на палочке,50,,-10,10
Пряник раскраска,100,,-11,11
Тарталетка Лимон,100,,-12,12
Тарталетка Орех,150,,-13,13
Трубочка со сгущенкой,65,,-14,14
Чизкейк Сан-Себастьян,200
Блины с ветчиной и сыром «МФуд»,150,,-15,15
Блины с курицей и грибами «МФуд»,150
Блины с творогом «МФуд»,150
Блины Том - ям
Ролл том - ям / Ролл курица Шеф умами
Киш с рыбой СМАК,237
Киш мясной СМАК,193
Фокачча,248
Боул индейка ВК,185
Боул семга ВК,260
Васаби / кетчуп,30
Онигурадзу семга / краб/ креветка,183
Онигурадзу Шеф,250
Отбивная куриная ВК,255
Пицца Маргарита 1 кус.,107
Рис индейка терияки ВК,165
Ролл Индейка ВК,165
Ролл Курица ВК,160
Ролл креветка ВК,175
Салат Баклажан,170
Салат Цезарь,175
Сэндвич,155
Сосиска в тесте,51
Сырники «МФуд»,180
Чиабатта,140
Шеф умами ГРЕЧКА / СОБА / РИС,200
БАТОНЧИКИ 
Батончик 120,70
Батончики Fitcake,81
"Шоколад Tasty, 5г"
ВОДА / СОКИ В БУТЫЛКАХ
Боржоми,125
Вода 0.5,34
"Вода БАЙКАЛ 0,45л",61
"Сок в бутылочке 0,2л / IL PRIMO",59
ШОКОЛАД CACAVA
Белый шоколад ВАНИЛЬНОЕ НЕБО
Белый шоколад ГРЕШЬЮ
Белый шоколад МАЛИНОВЫЙ БАМБЛ
Белый шоколад ФИСТАШКОВАЯ НЯШКА
Какао масло Cacava
Какао Cacava (1 кг)
Какао Cacava 200 гр
Молочный шоколад БРАЗИЛИЯ Liara 50%
Молочный шоколад ДОМИНИКАНА 50%
Молочный шоколад ИНДОНЕЗИЯ West bali 50% какао
Молочный шоколад НА ЭРИТРИТЕ / 50% какао
Молочный шоколад НИКАРАГУА O'Tuma 50%
Молочный шоколад ТАЙНА ВОНКИ / 40% какао
Молочный шоколад ЭКВАДОР 50%
Темный шоколад 72% какао / БРАЗИЛИЯ Liara
Темный шоколад БРАЗИЛИЯ / 66% какао
Темный шоколад ГОНДУРАС 70%
Темный шоколад ГРЕНАДА 88%
Темный шоколад ДВА ПЕРЦА 70%
Темный шоколад ИНДОНЕЗИЯ Ransiki / 70% какао
Темный шоколад КАСКАРИЦА
Темный шоколад КОСТА-РИКА Nahua 70%
Темный шоколад ЛИМОННЫЙ БАЗИЛИК 70%
Темный шоколад МАНГО В КУБЕ
Темный шоколад НА КОКОСЕ Semuliki / 70% какао
Темный шоколад НА ЭРИТРИТЕ / 70%
Темный шоколад Перу АМАЗОНАС / 70% какао
Темный шоколад Перу Marañon / 70% какао
Темный шоколад ПРЯНАЯ КЛУБНИКА 60%
Темный шоколад ТАИЛАНД 68%
Темный шоколад УГАНДА / 88% какао
Темный шоколад УРАЛЬСКАЯ БРУСНИКА / 70%
Шоколад БАНАНОВЫЙ ВАЙБ 50%
Шоколад Cacava
ЗАКУП
Дрип бар Поштучно (Закуп),100
Зерно Бункер Флорал 2кг (Закуп)
Итого
ИТОГО ВСЕГО
Напитки
Смузи желтый
Смузи детокс
Смузи клубника банан
Смузи красный
ХОРЕКА
Пакет крафт,9
Стакан бабл Б 500 мл (Закуп) 1 уп/20 шт,11
Стакан бабл М 300 мл (Закуп) 1уп/25 шт,9
Стакан 250закуп,6
Стакан 350 закуп,6
