,,,,,,,,,,,
ABC и XYZ анализ,,,,,,,,,,,
01.04.2026-30.04.2026,,,,,,,,,,,
,,,,,,,,,,,
"Раздел каталога: Вода / Сок / Батончики, Десерты, Еда, Какао / Шоколад в банке Tasty, Дрипы, Субмарина ДРИПЫ, Субмарина 250 гр / 1 кг, Зерно фильтр 250 гр, Зерно эспрессо 250 гр, Зерно 1 кг, Чай 100 гр Tasty, Шоколад Unicava, НАПИТКИ, Мой Чай",,,,,,,,,,,
Наша компания: Наша компания,,,,,,,,,,,
,,,,,,,,,,,
Детализация: Номенклатура,,,,,,,,,,,
"Группы: A: 80, B: 15, C: 5; период: месяц",,,,,,,,,,,
Построен: 17.04.2026,,,,,,,,,,,
,,,,,,,,,,,
,Сумма,,Количество,,,Наценка,,Цена,Себест.,Сумма себест.,"Доля себест, %"
,,,,Ед. изм.,,,,,,,
Молочный шоколад ТАЙНА ВОНКИ,1920.0,A,4.0,шт,A,520.0,A,480.0,350.0,1400.0,73.0
Молочный шоколад неДубайский,1680.0,A,3.0,шт,A,480.0,B,560.0,400.0,1200.0,71.0
Молочный шоколад КАПУЧИНО НА КОКОСЕ,1620.0,A,3.0,шт,A,1620.0,A,540.0,0.0,0.0,
Молочный шоколад КАРАМЕЛЬНЫЙ LEMON CURD,1530.0,A,3.0,шт,A,480.0,A,510.0,350.0,1050.0,69.0
Темный шоколад МАНГО В КУБЕ,1530.0,A,3.0,шт,A,420.0,B,510.0,370.0,1110.0,73.0
Горячий шоколад в стружке МОЛОЧНЫЙ НА БАЗУ 59% (300 г),1510.0,A,1.0,шт,B,1510.0,A,1510.0,0.0,0.0,
Темный шоколад НА ЭРИТРИТЕ 70%,1500.0,A,3.0,шт,B,1140.0,A,500.0,120.0,360.0,24.0
Темный шоколад Индонезия Ransiki 70 %,1120.0,A,2.0,шт,B,360.0,B,560.0,380.0,760.0,68.0
Темный шоколад Колумбия ANEI 70 %,1000.0,A,2.0,шт,B,320.0,B,500.0,340.0,680.0,68.0
Темный шоколад ЧАЙ С МАЛИНОЙ,1000.0,A,2.0,шт,B,640.0,A,500.0,180.0,360.0,36.0
Белый шоколад ВАНИЛЬНОЕ НЕБО,960.0,A,2.0,шт,B,260.0,B,480.0,350.0,700.0,73.0
Белый шоколад ГРЕШЬЮ,960.0,A,2.0,шт,B,960.0,A,480.0,0.0,0.0,
Молочный шоколад Доминикана Око-Caribe 59 %,940.0,A,2.0,шт,B,300.0,B,470.0,320.0,640.0,68.0
Плитка ТАЙНА ВОНКИ / 50 гр,900.0,B,2.0,шт,B,900.0,A,450.0,0.0,0.0,
Шоколад Индонезия Ransiki 100 %,630.0,B,1.0,шт,C,200.0,B,630.0,430.0,430.0,68.0
Драже КОФЕСТАШКА,610.0,B,1.0,шт,B,170.0,C,610.0,440.0,440.0,72.0
Драже ФИСТАШКА В ШОКОЛАДЕ,610.0,B,1.0,шт,B,170.0,C,610.0,440.0,440.0,72.0
Шоколад Гондурас Asopropib 100%,580.0,B,1.0,шт,C,150.0,C,580.0,430.0,430.0,74.0
Шоколад Индонезия West Bali 100 %,580.0,B,1.0,шт,C,180.0,B,580.0,400.0,400.0,69.0
Шоколад Колумбия ANEI 100 %,580.0,B,1.0,шт,C,180.0,B,580.0,400.0,400.0,69.0
Шоколад 100% Доминикана,560.0,B,1.0,шт,C,150.0,C,560.0,410.0,410.0,73.0
Молочный шоколад МОЛОЧНЫЙ ЭРИТРИТ,530.0,B,1.0,шт,B,170.0,C,530.0,360.0,360.0,68.0
Темный шоколад 70% ДОМИНИКАНА,510.0,B,1.0,шт,C,150.0,C,510.0,360.0,360.0,71.0
Плитка  КЛУБНИЧНЫЙ СОРБЕТ Б.ш. / 50 гр,500.0,B,1.0,шт,B,500.0,A,500.0,0.0,0.0,
Плитка РАФАЭЛЬ  Б.ш. / 50 гр,500.0,B,1.0,шт,C,500.0,A,500.0,0.0,0.0,
Темный шоколад ВЬЕТНАМ OCA 70%,500.0,C,1.0,шт,C,130.0,C,500.0,370.0,370.0,74.0
Темный шоколад ЛИМОННЫЙ БАЗИЛИК,480.0,C,1.0,шт,C,130.0,C,480.0,350.0,350.0,73.0
Белый шоколад ПЛАНЕТА АРАХИС,470.0,C,1.0,шт,B,150.0,C,470.0,320.0,320.0,68.0
Молочный шоколад ИНДОНЕЗИЯ West bali 50% какао,450.0,C,1.0,шт,B,450.0,B,450.0,0.0,0.0,
Плитка ГОНДУРАС М. ш. / 50 гр,450.0,C,1.0,шт,B,450.0,B,450.0,0.0,0.0,
Вода / Сок / Батончики,32250.0,C,263.0,,C,27274.61,B,122.62,18.92,4975.39,15.0
Сок в бутылочке IL PRIMO 0.2 л,14170.0,A,109.0,шт,A,10368.99,A,130.0,34.87,3801.01,27.0
Батончик ПП,7840.0,A,53.0,шт,B,7840.0,A,147.92,0.0,0.0,
"Вода 0,5 газ / не газ",7110.0,B,79.0,шт,A,5935.62,B,90.0,14.87,1174.38,17.0
"Вода Байкал 0,45 л",1800.0,C,15.0,шт,C,1800.0,C,120.0,0.0,0.0,
Боржоми,1330.0,C,7.0,шт,C,1330.0,C,190.0,0.0,0.0,
Зерно фильтр 250 гр,24434.0,C,30.0,,C,24434.0,C,814.47,0.0,0.0,
Бразилия Сульдеминас 250,10346.0,A,14.0,шт,A,10346.0,A,739.0,0.0,0.0,
Колумбия Уила 250,4295.0,A,5.0,шт,A,4295.0,A,859.0,0.0,0.0,
Руанда Киву 250 гр,3440.0,A,4.0,шт,A,3440.0,A,860.0,0.0,0.0,
Гватемала Сантьяго 250,1698.0,B,2.0,шт,B,1698.0,B,849.0,0.0,0.0,
Эфиопия сидамо 250,1658.0,B,2.0,шт,B,1658.0,B,829.0,0.0,0.0,
Эфиопия Мукера 120 часов 250 гр,1139.0,B,1.0,шт,C,1139.0,B,1139.0,0.0,0.0,
Индонезия Суматра Гайо,929.0,C,1.0,шт,B,929.0,C,929.0,0.0,0.0,
Кения Маунт 250 гр,929.0,C,1.0,шт,C,929.0,C,929.0,0.0,0.0,
Дрипы,17065.0,C,17.0,,C,17065.0,C,1003.82,0.0,0.0,
"Дрип-пакеты Коста-Рика 2025, 12 шт",5000.0,A,2.0,шт,A,5000.0,A,2500.0,0.0,0.0,
Дрип Бразилия Суль-де-Минас 10 шт,4333.0,A,7.0,шт,A,4333.0,A,619.0,0.0,0.0,
Дрип Коста-Рика Вара Бланка / 10 шт,1728.0,A,2.0,шт,A,1728.0,A,864.0,0.0,0.0,
Дрип Бэрри (30 шт),1639.0,A,1.0,шт,A,1639.0,A,1639.0,0.0,0.0,
Дрип микс (Подарочный набор),1619.0,B,1.0,упак,B,1619.0,B,1619.0,0.0,0.0,
Дрип Гватемала Адольфо Эрнандес / 10 шт,799.0,B,1.0,шт,B,799.0,B,799.0,0.0,0.0,
Дрип Колумбия Уила 10 шт,699.0,B,1.0,упак,B,699.0,B,699.0,0.0,0.0,
Дрип Эфиопия Сидамо (10 шт),669.0,C,1.0,шт,C,669.0,C,669.0,0.0,0.0,
Дрип Бэрри 10 шт,579.0,C,1.0,шт,A,579.0,C,579.0,0.0,0.0,
