22.04.2024","Общее количесто 22.04
(для сайта)","Тургенева 
12.05.2024","Самокиша 
12.05.2024","Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,Общее количесто,Тургенева ,Самокиша ,Луговая,Общее количесто,Тургенева ,Самокиша ,Луговая,Общее количесто
Аксессуары для кофе / Сопутка |  TASTY
Дрип Кения Ливани,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Дрип Гватемала Ла Сенда,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,5,2,7,5,2,7,4,2,6,4,2,6,4,2,6,4,2,6,2,2,1,5,2,2,1,5,2,0,2,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Дрип Гватемала Эль Сокорро,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,,8,2,10,5,2,3,10,5,2,3,10,5,2,7,5,1,3,9,5,1,3,9,5,1,1,7,3,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0
Дрип Гейша Гватемала 1шт,Tasty coffee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
Дрип Кения Мугага,Tasty coffee,,,,,0,6,3,2,3,2,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,2,4,2,3,2,2,2,2,2,1,2,1,2,1,1,1,1,1,1,2,1,1,2,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
Дрип Гейша Панама 1 шт,Tasty coffee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
Дрип Китай Пуэр Анарэробный,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,3,0,,2,1,,2,1,,2,1,3,2,1,0,3,1,1,0,3,1,1,2,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
Дрип Колумбия Луис Калдерон,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Дрип Коста Рика Лос Лириос,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,0,9,6,3,0,9,6,3,0,9,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
Дрип Коста Рика Эль Вапор,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,0,9,6,3,0,9,5,3,0,8,1,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0
Дрип Колумбия Черри Сантуарио,Tasty coffee,,,,,,,,,,,,,,,6,0,2,3,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Дрип Колумбия Черные ягоды хайро Арчила,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Дрип Коста-Рика Игерональ ,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,5,2,7,4,2,6,4,2,6,4,2,6,4,2,6,4,2,6,2,1,1,4,2,1,1,4,1,1,2,1,1,1,3,0,0,1,1,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
Дрип Коста-Рика Эль Мудо,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,6,2,8,6,2,8,6,1,7,4,3,7,4,3,7,4,0,4,4,0,0,4,4,0,0,4,4,0,4,4,0,0,4,4,0,0,4,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Дрип Мексика Иксуатлан Моссто,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,,8,2,10,5,2,3,10,5,2,3,10,5,2,7,5,2,3,10,4,2,2,8,4,2,2,8,3,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0
Дрип Мексика Иксуатлан ТАКО,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,,8,2,10,5,2,3,10,5,2,3,10,4,2,6,4,2,2,8,4,2,2,8,4,2,1,7,3,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0
Дрип Панама Бару,Tasty coffee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,2,2,2,1,6,0,3,3,3,2,3,2,3,2,3,2,3,1,2,2,4,2,2,4,1,2,3,1,2,3,1,2,3,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
Дрип Перу Кени Яхахуанка,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,0,1,1,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
Дрип Руанда Каронги,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,,8,2,10,5,2,2,9,5,2,2,9,5,2,7,5,1,2,8,5,0,2,7,5,0,2,7,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Дрип Эфиопия Банко Готете,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,0,6,4,2,0,6,2,2,2,6,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Дрип Эфиопия Гету,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,5,1,5,1,3,3,3,2,3,2,2,1,1,1,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Дрип Эфиопия Данче,Tasty coffee,,,,,8,0,3,3,3,3,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Дрип Эфиопия Дебебе,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,0,6,4,2,0,6,1,2,2,5,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Дрип Ява Фринса Анаэробный,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,0,5,4,1,0,5,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Дрип Ява Фринса Лактик,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,0,5,3,2,0,5,1,1,2,4,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Дрип Эфиопия Тесфай 200 ч,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,3,2,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0

ЗЕРНО ФИЛЬТР 250   |  TASTY
Батч-брю 250 гр,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,3,0,1,0,1,8,6,0,14
Боливия Гейша Лос Родригес 100 гр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Боливия Каранави,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2
Бразилия Мауро Гальери,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,,0,0,0,0
Бразилия Сульдеминас 250,Tasty coffee,13,10,11,8,6,6,6,4,4,2,2,1,0,1,25,0,11,9,10,6,10,5,10,2,6,3,2,0,0,2,0,0,0,0,15,13,15,10,15,10,15,8,14,8,14,7,13,7,12,7,19,12,6,18,9,8,17,6,8,14,29,6,35,24,7,31,10,12,9,31,9,9,9,31,9,7,16,5,5,4,14,5,5,3,13,25,13,1,39,7,11,1,19,11,7,7,25,1,4,3,8,1,2,0,3
Бурунди Нкизи,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,0,0,0,0
Гватемала Ла Кабана 250 гр,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Гватемала Сантьяго 250 ,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,8,10,7,9,4,6,5,6,5,6,5,11,5,4,9,4,4,8,4,3,7,28,2,30,17,9,26,8,8,8,24,8,7,8,24,8,6,14,7,4,8,19,7,4,8,19,7,4,7,18,21,7,3,31,7,2,2,11,0,4,0,4,0,2,0,2
Индонезия Суматра Гайо,Tasty coffee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,10,12,10,12,10,11,10,11,8,9,8,5,6,5,6,5,6,5,6,5,5,4,5,4,4,3,4,7,2,2,4,2,2,4,2,2,4,16,2,18,12,4,16,7,4,5,16,7,4,5,16,5,6,11,5,5,5,15,4,5,5,14,3,5,5,13,1,6,3,10,0,1,0,1,0,1,0,1,0,4,4,8
Индонезия Ява Мустофа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,1,0,0,1
Кения Маунт,Tasty coffee,0,0,0,0,0,10,5,5,5,5,4,5,3,5,2,1,1,1,1,0,0,0,0,0,0,0,0,0,4,3,4,2,3,1,6,4,6,4,5,3,5,2,5,2,1,2,1,0,0,1,1,0,1,1,0,0,0,0,0,0,16,0,16,9,3,12,3,5,3,11,3,4,3,11,3,1,4,3,0,3,6,1,1,2,4,5,0,2,7,6,1,0,7,0,3,2,5,0,3,2,5,0,2,1,3
Колумбия Персик Хайро Арчила,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2
Колумбия Уила 250,Tasty coffee,8,14,6,14,0,13,6,5,4,4,0,3,0,1,30,0,15,13,14,10,14,9,14,8,14,7,10,8,9,5,9,3,7,1,23,0,8,12,8,12,8,12,8,12,6,12,5,11,5,11,16,5,11,16,5,10,15,5,9,14,29,9,38,20,16,36,11,16,9,36,11,14,9,36,10,14,24,9,11,5,25,9,7,4,20,22,13,4,39,12,8,7,27,3,0,4,7,15,13,6,34,2,2,2,6
Перу Вильдер Киведо,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,0,0,0,0
Руанда Киву,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,3,14,12,6,32,1,0,0,1
Эфиопия Мукера 120 ч,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,6
Эфиопия Мукера 200 ч,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,,0,0,0,0
Эфиопия сидамо 250,Tasty coffee,10,14,9,14,7,9,3,9,0,8,0,8,4,4,2,2,1,0,0,0,12,12,12,10,12,9,11,8,11,8,8,7,7,7,5,7,5,6,5,5,5,4,5,2,2,3,2,2,2,1,3,2,0,2,0,0,0,0,0,0,24,0,24,14,7,21,9,6,5,20,9,6,5,20,9,6,15,9,6,4,19,8,6,4,18,8,6,3,17,6,5,4,15,7,1,1,9,11,11,4,26,1,1,0,2
Неактуально
Уганда Ньябиронго Анаэробный ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,0,0,0,0
Боливия Самайпата,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Колумбия Черные ягоды Хайро Арчила,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,2,2,6,0,0,0,0
Колумбия Чирозо Каса Негра,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,1,3,0,0,0,0
Колумбия Хайро Арчила 250 гр,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Колумбия Каука,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Коста-Рика Эстебан Замора,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Руанда Кайонза,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Эфиопия Берату Шакиту 250 гр,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Эфиопия Мукера Анаэробный 250 гр,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Эфиопия Соломон Гету 250 гр,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Эфиопия Хало Хартуме,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Эфиопия Тарату,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Коста-Рика Сарчи Мария ,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,4,5,9,2,4,1,7,1,3,1,7,1,3,4,1,3,1,5,1,2,1,4,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Марагоджип Никарагуа 250,Tasty coffee,0,0,0,0,0,8,2,3,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Мексика Рохо Иксуатлан,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,5,1,3,2,1,2,1,2,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Панама Гейша бару,Tasty coffee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Коста-Рика Дота,Tasty coffee,,,,,,,,,,,,,,,16,0,6,7,6,6,6,6,6,5,4,5,2,5,2,4,0,1,0,1,8,8,8,7,8,7,8,7,8,7,5,7,5,7,4,6,10,3,6,9,3,4,7,3,3,6,2,3,5,2,2,4,2,1,0,3,2,1,0,3,2,1,3,2,0,0,2,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Эфиопия Тесфай 250 гр,Tasty coffee,,,,,0,4,2,2,2,2,1,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,12,4,16,7,3,10,7,3,3,13,7,2,3,13,7,2,9,7,2,2,11,5,4,2,11,5,3,2,10,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0
Эфиопия Тесфай 120 часов,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,2,1,2,0,1,0,1,0,0,0,0,0,0,,0,0,,0,0,,0,0,,10,4,14,9,2,11,3,3,2,8,2,3,2,8,2,3,5,1,1,2,4,1,0,2,3,0,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Эфиопия Тесфай 200 часов 250гр,Tasty coffee,,,,,0,4,2,0,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
Эфиопия Челчеле Хани,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,10,6,3,9,4,3,2,9,4,3,2,9,4,3,7,4,3,2,9,4,2,2,8,3,0,2,5,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0

ЗЕРНО ЭСПРЕССО 250   |  TASTY
Бразилия серрадо 250,Tasty coffee,0,0,0,0,0,40,20,17,18,17,16,18,15,18,36,13,9,17,6,15,6,12,6,11,4,7,1,5,30,3,16,8,12,4,35,0,15,17,13,17,11,16,6,10,2,5,19,15,17,11,28,15,8,23,10,6,16,9,0,9,6,2,8,0,0,0,0,0,0,,0,0,0,,0,0,,23,3,0,26,9,10,3,22,19,8,0,27,20,20,2,42,4,3,6,13,20,7,2,29,11,7,5,23
Брауни 250,Tasty coffee,0,22,0,18,0,17,7,7,7,7,5,5,2,3,2,0,0,0,0,0,15,15,12,14,9,11,5,6,13,13,10,6,10,5,14,10,14,6,9,7,7,6,2,2,0,0,8,8,8,6,14,4,8,12,3,7,10,1,7,8,21,6,27,15,6,21,9,4,5,18,9,2,5,18,5,4,9,3,1,2,6,1,1,2,4,16,8,1,25,19,11,3,33,0,0,0,0,15,8,3,26,26,9,8,43
Бэрри 250,Tasty coffee,19,4,14,0,3,30,15,11,8,11,2,8,1,5,31,0,11,1,4,0,17,15,16,12,16,5,10,6,25,15,24,10,22,5,28,10,25,2,14,9,14,5,11,0,0,1,9,8,9,6,15,5,6,11,5,3,8,5,1,6,38,2,40,22,10,32,12,7,9,28,13,1,9,28,7,4,11,24,3,5,32,9,11,7,27,26,15,7,48,30,15,3,48,0,6,7,13,4,4,3,11,16,11,7,34
Гватемала Ла Лагуна 250,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,8,3,3,6,1,2,1,4,1,2,1,4,1,2,3,1,1,1,3,1,1,1,3,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,2
Гватемала Фуэго 250,Tasty coffee,4,3,3,3,2,0,1,0,0,0,0,0,0,0,16,0,6,8,6,6,16,15,16,15,16,12,15,10,10,15,9,13,9,12,7,12,6,9,4,5,4,4,4,1,1,3,21,3,12,12,24,12,9,21,8,10,18,8,10,18,32,10,42,23,18,41,13,17,10,40,13,16,10,40,12,16,28,11,13,9,33,9,13,9,31,7,8,9,24,4,3,3,10,4,3,1,8,12,9,4,25,7,7,8,22
Кения Найроби 250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,13,7,26,4,10,5,19,8,6,6,20
Китай Симао 250,Tasty coffee,9,0,8,0,6,10,5,8,0,8,0,8,3,3,14,1,5,1,3,0,15,12,15,11,15,11,15,8,36,11,36,9,36,7,21,15,19,12,15,11,15,11,15,10,14,10,13,9,4,12,16,2,11,13,1,8,9,0,3,3,24,0,24,12,10,22,6,10,4,20,2,9,4,20,2,9,11,16,11,4,31,15,10,4,29,11,5,3,19,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0
Колумбия Богота 250,Tasty coffee,25,3,25,3,26,10,25,9,25,9,25,9,21,9,9,19,5,15,4,9,14,13,12,10,12,8,10,8,7,10,6,8,6,7,12,11,12,10,12,10,12,10,12,10,11,6,34,6,29,11,40,29,8,37,18,18,36,17,16,33,17,15,32,17,11,28,10,6,4,20,10,5,4,20,3,7,10,16,14,4,34,16,14,4,34,13,10,3,26,9,8,1,18,6,6,8,20,14,7,4,25,13,9,8,30
Колумбия Декаф 250,Tasty coffee,2,5,2,5,4,1,2,1,2,0,0,0,0,0,11,0,4,1,2,1,6,4,6,3,5,1,3,1,2,0,1,1,0,1,7,2,5,2,4,1,1,1,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,17,5,22,16,1,17,8,3,4,15,8,3,4,15,6,0,6,1,0,3,4,0,0,3,3,6,4,3,13,9,7,0,16,0,0,0,0,15,8,3,26,0,0,1,1
Коста Рика сан Хосе 250,Tasty coffee,0,7,0,7,6,10,5,10,2,10,1,10,5,4,4,3,2,3,2,0,10,10,10,10,10,10,10,8,10,8,9,8,8,8,6,5,6,4,6,4,6,2,5,0,1,3,1,1,0,0,,0,0,,0,0,,0,0,,24,0,24,14,10,24,10,10,4,24,10,10,4,24,10,10,20,10,9,4,23,9,9,4,22,9,7,3,19,8,3,2,13,4,6,8,18,3,6,6,15,6,2,4,12
Крисмас бленд 250 гр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,0,17
