,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчет по продажам,,,,,,,,,,,,,,,,,,,,,,,,,,
30.03.2026-14.04.2026,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Наша компания: Все юридические лица,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Детализация: Склад > Номенклатура,,,,,,,,,,,,,,,,,,,,,,,,,,
Построен: 15.04.2026,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Кол-во,Ед. изм.,Закупочные цены,,Наценка,,,Продажа,,,,,,,,,,,,,,,,,
,,,,Себест.,Сумма себест.,Наценка %,Сумма наценки,Доля наценки,"Доля, %",Ср. цена,Сумма,,,,,,,,,,,,,,,
Латте альт.,0.0,17.0,шт,27.13,461.22,1005.76,4638.78,1.0,1.0,300.0,5100.0,,,,,,,,,,,,,,,
Капучино альт. М,0.0,17.0,шт,27.19,462.23,929.79,4297.77,1.0,1.0,280.0,4760.0,,,,,,,,,,,,,,,
Бразилия Серрадо 1 кг,0.0,2.0,шт,698.75,1397.5,240.47,3360.5,1.0,1.0,2379.0,4758.0,,,,,,,,,,,,,,,
Блины с курицей и грибами,0.0,16.0,шт,170.0,2720.0,70.88,1928.0,,1.0,290.5,4648.0,,,,,,,,,,,,,,,
Капучино альт. Б,0.0,14.0,шт,39.16,548.21,742.74,4071.79,1.0,1.0,330.0,4620.0,,,,,,,,,,,,,,,
Блины с ветчиной и сыром,0.0,16.0,шт,180.0,2880.0,55.56,1600.0,,1.0,280.0,4480.0,,,,,,,,,,,,,,,
Хорнет Б,0.0,13.0,шт,51.21,665.73,563.93,3754.27,1.0,1.0,340.0,4420.0,,,,,,,,,,,,,,,
Молоко / 50 гр,0.0,108.0,шт,92.0,9936.0,-56.52,-5616.0,-1.0,1.0,40.0,4320.0,,,,,,,,,,,,,,,
Боул индейка ВК,0.0,11.0,шт,230.0,2530.0,69.96,1770.0,,1.0,390.91,4300.0,,,,,,,,,,,,,,,
Творожный / Морковный  КЕКС,0.0,36.0,шт,65.0,2340.0,77.22,1807.0,,1.0,115.19,4147.0,,,,,,,,,,,,,,,
Бразилия серрадо 250,0.0,5.0,шт,221.52,1107.6,229.09,2537.4,1.0,1.0,729.0,3645.0,,,,,,,,,,,,,,,
Сырники,0.0,12.0,шт,180.0,2160.0,68.61,1482.0,,1.0,303.5,3642.0,,,,,,,,,,,,,,,
Сок в бутылочке IL PRIMO 0.2 л,0.0,27.0,шт,,,,3510.0,1.0,1.0,130.0,3510.0,,,,,,,,,,,,,,,
Чизкейк САН СЕБАСТЬЯН / МАРАКУЙЯ,0.0,10.0,шт,200.0,2000.0,74.0,1480.0,,1.0,348.0,3480.0,,,,,,,,,,,,,,,
Блины Том - ям,0.0,11.0,шт,200.0,2200.0,57.45,1264.0,,1.0,314.91,3464.0,,,,,,,,,,,,,,,
Фраппучино,0.0,9.0,шт,51.49,463.41,638.01,2956.59,1.0,1.0,380.0,3420.0,,,,,,,,,,,,,,,
Кедровый Б,0.0,10.0,шт,54.02,540.21,510.87,2759.79,1.0,1.0,330.0,3300.0,,,,,,,,,,,,,,,
Муравейник,0.0,13.0,шт,120.0,1560.0,108.33,1690.0,,1.0,250.0,3250.0,,,,,,,,,,,,,,,
Отбивная куриная ВК,0.0,9.0,шт,275.56,2480.0,31.05,770.0,,1.0,361.11,3250.0,,,,,,,,,,,,,,,
Чай в Чайник,0.0,8.0,шт,,,,3200.0,1.0,,400.0,3200.0,,,,,,,,,,,,,,,
Флорал 250,0.0,4.0,шт,110.5,442.0,623.08,2754.0,1.0,,799.0,3196.0,,,,,,,,,,,,,,,
Блины с творогом,0.0,11.0,шт,170.0,1870.0,66.31,1240.0,,,282.73,3110.0,,,,,,,,,,,,,,,
Салат Цезарь,0.0,9.0,шт,171.11,1540.0,98.83,1522.0,,,340.22,3062.0,,,,,,,,,,,,,,,
Чайник Облепиховый,0.0,5.0,шт,1.28,6.4,46775.0,2993.6,1.0,,600.0,3000.0,,,,,,,,,,,,,,,
Киш с рыбой СМАК,0.0,9.0,шт,215.0,1935.0,47.86,926.0,,,317.89,2861.0,,,,,,,,,,,,,,,
Эспрессо,0.0,20.0,шт,20.14,402.72,595.27,2397.28,1.0,,140.0,2800.0,,,,,,,,,,,,,,,
Натти 250,0.0,4.0,шт,377.0,1508.0,74.8,1128.0,,,659.0,2636.0,,,,,,,,,,,,,,,
Салат Баклажан,0.0,8.0,шт,192.5,1540.0,67.66,1042.0,,,322.75,2582.0,,,,,,,,,,,,,,,
Кедровый М,0.0,9.0,шт,42.37,381.34,560.83,2138.66,1.0,,280.0,2520.0,,,,,,,,,,,,,,,
Чай Глинтвейн,0.0,9.0,шт,25.46,229.18,999.57,2290.82,1.0,,280.0,2520.0,,,,,,,,,,,,,,,
Молочный коктейль Б,0.0,7.0,шт,16.1,112.7,1949.69,2197.3,1.0,,330.0,2310.0,,,,,,,,,,,,,,,
Эфиопия Иргачефф 250,0.0,3.0,шт,,,,2247.0,1.0,,749.0,2247.0,,,,,,,,,,,,,,,
Горячий шоколад,0.0,7.0,шт,36.63,256.43,773.53,1983.57,1.0,,320.0,2240.0,,,,,,,,,,,,,,,
Чай Клюква,0.0,8.0,шт,9.95,79.57,2715.13,2160.43,1.0,,280.0,2240.0,,,,,,,,,,,,,,,
Бразилия Сульдеминас 250,0.0,3.0,шт,,,,2217.0,1.0,,739.0,2217.0,,,,,,,,,,,,,,,
Ролл том - ям / Ролл курица ШЕФ УМАМИ,0.0,16.0,шт,100.0,1600.0,38.0,608.0,,,138.0,2208.0,,,,,,,,,,,,,,,
Улун в стакан,0.0,10.0,шт,9.95,99.46,2111.94,2100.54,1.0,,220.0,2200.0,,,,,,,,,,,,,,,
Тарталетка Орех,0.0,9.0,шт,180.0,1620.0,33.21,538.0,,,239.78,2158.0,,,,,,,,,,,,,,,
Хорнет,0.0,7.0,шт,37.69,263.83,669.43,1766.17,,,290.0,2030.0,,,,,,,,,,,,,,,
Флетуайт альт.,0.0,6.0,шт,49.54,297.21,525.82,1562.79,,,310.0,1860.0,,,,,,,,,,,,,,,
Фреш,0.0,5.0,шт,2.3,11.5,15552.17,1788.5,,,360.0,1800.0,,,,,,,,,,,,,,,
Умами ГРЕЧКА / РИС,0.0,5.0,шт,250.0,1250.0,42.48,531.0,,,356.2,1781.0,,,,,,,,,,,,,,,
Пряник на палочке,0.0,13.0,шт,55.0,715.0,145.45,1040.0,,,135.0,1755.0,,,,,,,,,,,,,,,
Колумбия Уила 250,0.0,2.0,шт,,,,1718.0,,,859.0,1718.0,,,,,,,,,,,,,,,
Матча айс альт.,0.0,4.0,шт,2.42,9.69,16824.66,1630.31,,,410.0,1640.0,,,,,,,,,,,,,,,
Тыквенный пирог,0.0,6.0,шт,100.0,600.0,170.0,1020.0,,,270.0,1620.0,,,,,,,,,,,,,,,
Дрип микс (Подарочный набор),0.0,1.0,упак,,,,1619.0,,,1619.0,1619.0,,,,,,,,,,,,,,,
Брауни 250,0.0,2.0,шт,434.2,868.4,84.02,729.6,,,799.0,1598.0,,,,,,,,,,,,,,,
Доппио,0.0,7.0,шт,40.65,284.58,441.15,1255.42,,,220.0,1540.0,,,,,,,,,,,,,,,
Хани 250 гр,0.0,2.0,шт,418.0,836.0,83.97,702.0,,,769.0,1538.0,,,,,,,,,,,,,,,
Батончик ПП,0.0,11.0,шт,,,,1520.0,,,138.18,1520.0,,,,,,,,,,,,,,,
Какао альт.,0.0,4.0,шт,26.45,105.79,1336.81,1414.21,,,380.0,1520.0,,,,,,,,,,,,,,,
Айс Латте,0.0,5.0,шт,48.82,244.1,514.5,1255.9,,,300.0,1500.0,,,,,,,,,,,,,,,
Пряник раскраска,0.0,5.0,шт,185.0,925.0,62.16,575.0,,,300.0,1500.0,,,,,,,,,,,,,,,
Чайник Улун,0.0,3.0,шт,,,,1500.0,,,500.0,1500.0,,,,,,,,,,,,,,,
UNICAVA Горячий шоколад / Какао в стакан,0.0,4.0,шт,28.35,113.39,1134.68,1286.61,,,350.0,1400.0,,,,,,,,,,,,,,,
Грибной крем суп,0.0,4.0,шт,175.0,700.0,100.0,700.0,,,350.0,1400.0,,,,,,,,,,,,,,,
Тарталетка Лимон,0.0,7.0,шт,120.0,840.0,63.69,535.0,,,196.43,1375.0,,,,,,,,,,,,,,,
Эспрессо Тоник с лаймом Б,0.0,4.0,шт,59.41,237.62,472.34,1122.38,,,340.0,1360.0,,,,,,,,,,,,,,,
Лимонад,0.0,4.0,шт,47.59,190.36,593.42,1129.64,,,330.0,1320.0,,,,,,,,,,,,,,,
Пуэр в стакан ШАР,0.0,6.0,шт,8.67,52.0,2438.46,1268.0,,,220.0,1320.0,,,,,,,,,,,,,,,
Рис индейка терияки ВК,0.0,4.0,шт,225.0,900.0,41.67,375.0,,,318.75,1275.0,,,,,,,,,,,,,,,
Матча 100 гр,0.0,1.0,шт,,,,1259.0,,,1259.0,1259.0,,,,,,,,,,,,,,,
Кофе СССР,0.0,5.0,шт,9.95,49.73,2413.57,1200.27,,,250.0,1250.0,,,,,,,,,,,,,,,
Дрип Бразилия Суль-де-Минас 10 шт,0.0,2.0,шт,,,,1238.0,,,619.0,1238.0,,,,,,,,,,,,,,,
"Вода Байкал 0,45 л",0.0,10.0,шт,,,,1200.0,,,120.0,1200.0,,,,,,,,,,,,,,,
Сок стакан на розлив,0.0,10.0,шт,7.0,70.0,1614.29,1130.0,,,120.0,1200.0,,,,,,,,,,,,,,,
Смузи Клубника-банан,0.0,3.0,шт,111.1,333.3,259.14,863.7,,,399.0,1197.0,,,,,,,,,,,,,,,
Латте декаф,0.0,4.0,шт,37.55,150.19,672.36,1009.81,,,290.0,1160.0,,,,,,,,,,,,,,,
Эспрессо Тоник с лаймом,0.0,4.0,шт,35.33,141.33,720.77,1018.67,,,290.0,1160.0,,,,,,,,,,,,,,,
Мохито,0.0,3.0,шт,20.61,61.82,1598.48,988.18,,,350.0,1050.0,,,,,,,,,,,,,,,
Темный шоколад НА ЭРИТРИТЕ 70%,0.0,2.0,шт,,,,1000.0,,,500.0,1000.0,,,,,,,,,,,,,,,
Хорнет Горячий,0.0,3.0,шт,52.03,156.09,534.25,833.91,,,330.0,990.0,,,,,,,,,,,,,,,
Орешки кедр / 8 гр,0.0,14.0,шт,,,,980.0,,,70.0,980.0,,,,,,,,,,,,,,,
Матча,0.0,3.0,шт,37.55,112.64,752.27,847.36,,,320.0,960.0,,,,,,,,,,,,,,,
Перу Ла Сидра 250 гр,0.0,1.0,шт,,,,949.0,,,949.0,949.0,,,,,,,,,,,,,,,
Молочный горячий шоколад Tasty,0.0,1.0,шт,,,,929.0,,,929.0,929.0,,,,,,,,,,,,,,,
Капучино декаф М,0.0,4.0,шт,26.03,104.11,783.68,815.89,,,230.0,920.0,,,,,,,,,,,,,,,
Субмарина МЕГА ДРИПЫ Симс / 6 шт,0.0,1.0,шт,790.0,790.0,12.66,100.0,,,890.0,890.0,,,,,,,,,,,,,,,
Дрип Микролот Tasty (85+) / в стакан,0.0,4.0,шт,9.95,39.78,2112.17,840.22,,,220.0,880.0,,,,,,,,,,,,,,,
Кофе с молоком персонал М,0.0,11.0,шт,111.87,1230.57,-28.49,-350.57,,,80.0,880.0,,,,,,,,,,,,,,,
Фанки 250,0.0,1.0,шт,,,,879.0,,,879.0,879.0,,,,,,,,,,,,,,,
Американо альт. Б,0.0,3.0,шт,42.06,126.17,589.55,743.83,,,290.0,870.0,,,,,,,,,,,,,,,
Коста Рика сан Хосе 250,0.0,1.0,шт,434.2,434.2,95.53,414.8,,,849.0,849.0,,,,,,,,,,,,,,,
Флетуайт декаф,0.0,3.0,шт,26.94,80.82,939.35,759.18,,,280.0,840.0,,,,,,,,,,,,,,,
Чай Рухуна 100 гр,0.0,2.0,шт,,,,838.0,,,419.0,838.0,,,,,,,,,,,,,,,
Субмарина МЕГА ДРИПЫ Эфиопия Челбеса,0.0,1.0,шт,650.0,650.0,26.15,170.0,,,820.0,820.0,,,,,,,,,,,,,,,
"Дрип Кения Гитуара, 10 шт",0.0,1.0,шт,,,,819.0,,,819.0,819.0,,,,,,,,,,,,,,,
Эфиопия гуджи 250,0.0,1.0,шт,,,,819.0,,,819.0,819.0,,,,,,,,,,,,,,,
Капучино Альт. Холод,0.0,2.0,шт,51.21,102.42,661.57,677.58,,,390.0,780.0,,,,,,,,,,,,,,,
Бэрри 250,0.0,1.0,шт,,,,739.0,,,739.0,739.0,,,,,,,,,,,,,,,
"Вода 0,5 газ / не газ",0.0,8.0,шт,,,,720.0,,,90.0,720.0,,,,,,,,,,,,,,,
Трубочка с кремом,0.0,8.0,шт,70.0,560.0,28.57,160.0,,,90.0,720.0,,,,,,,,,,,,,,,
Кэнди 250,0.0,1.0,шт,409.5,409.5,75.58,309.5,,,719.0,719.0,,,,,,,,,,,,,,,
Лимон / 10 гр,0.0,34.0,шт,,,,680.0,,,20.0,680.0,,,,,,,,,,,,,,,
Эспрессо тоник с сиропом Б,0.0,2.0,шт,71.47,142.94,375.72,537.06,,,340.0,680.0,,,,,,,,,,,,,,,
Чай Облепиха АЙС,0.0,2.0,шт,2.3,4.6,14247.83,655.4,,,330.0,660.0,,,,,,,,,,,,,,,
"Чай ""Закатный ветер"" 80 гр",0.0,1.0,шт,,,,650.0,,,650.0,650.0,,,,,,,,,,,,,,,
Чай «Леший» с мухомором 80 гр,0.0,1.0,шт,390.0,390.0,66.67,260.0,,,650.0,650.0,,,,,,,,,,,,,,,
Чай «Зов Духа» 80 гр,0.0,1.0,шт,360.0,360.0,66.67,240.0,,,600.0,600.0,,,,,,,,,,,,,,,
Чайник Имбирный,0.0,1.0,шт,16.8,16.8,3471.43,583.2,,,600.0,600.0,,,,,,,,,,,,,,,
Чайник Клюквенный,0.0,1.0,шт,1.28,1.28,46775.0,598.72,,,600.0,600.0,,,,,,,,,,,,,,,
Дрип Бэрри 10 шт,0.0,1.0,шт,,,,579.0,,,579.0,579.0,,,,,,,,,,,,,,,
Темный шоколад Индонезия Ransiki 70 %,0.0,1.0,шт,380.0,380.0,47.37,180.0,,,560.0,560.0,,,,,,,,,,,,,,,
Чай Имбирный,0.0,2.0,шт,26.75,53.5,946.73,506.5,,,280.0,560.0,,,,,,,,,,,,,,,
"Чай ""Женьшень улун"" 100 гр",0.0,1.0,шт,195.0,195.0,182.05,355.0,,,550.0,550.0,,,,,,,,,,,,,,,
"Чай ""Иван в красном халате"" 80 гр",0.0,1.0,шт,,,,550.0,,,550.0,550.0,,,,,,,,,,,,,,,
Дрип кофе в стакан,0.0,3.0,шт,9.95,29.85,1709.05,510.15,,,180.0,540.0,,,,,,,,,,,,,,,
Кофе альт молоко М персонал,0.0,6.0,шт,26.3,157.81,242.18,382.19,,,90.0,540.0,,,,,,,,,,,,,,,
Темный шоколад УРАЛЬСКАЯ БРУСНИКА,0.0,1.0,шт,,,,540.0,,,540.0,540.0,,,,,,,,,,,,,,,
"Шоколад  НА КУСЬ / Tasty, 5г",0.0,18.0,шт,,,,540.0,,,30.0,540.0,,,,,,,,,,,,,,,
Молочный шоколад КАРАМЕЛЬНЫЙ LEMON CURD,0.0,1.0,шт,350.0,350.0,45.71,160.0,,,510.0,510.0,,,,,,,,,,,,,,,
Темный шоколад 70% ДОМИНИКАНА,0.0,1.0,шт,360.0,360.0,41.67,150.0,,,510.0,510.0,,,,,,,,,,,,,,,
Темный шоколад МАНГО В КУБЕ,0.0,1.0,шт,370.0,370.0,37.84,140.0,,,510.0,510.0,,,,,,,,,,,,,,,
Плитка РАФАЭЛЬ  Б.ш. / 50 гр,0.0,1.0,шт,,,,500.0,,,500.0,500.0,,,,,,,,,,,,,,,
Темный шоколад ВЬЕТНАМ OCA 70%,0.0,1.0,шт,370.0,370.0,35.14,130.0,,,500.0,500.0,,,,,,,,,,,,,,,
Темный шоколад ПРЯНАЯ КЛУБНИКА,0.0,1.0,шт,,,,500.0,,,500.0,500.0,,,,,,,,,,,,,,,
Чай Тегуанинь 100 гр,0.0,1.0,шт,215.0,215.0,132.56,285.0,,,500.0,500.0,,,,,,,,,,,,,,,
Темный шоколад ОРЕХОВЫЙ ВАЙБ,0.0,1.0,шт,350.0,350.0,40.0,140.0,,,490.0,490.0,,,,,,,,,,,,,,,
Плитка ГОНДУРАС М. ш. / 50 гр,0.0,1.0,шт,,,,450.0,,,450.0,450.0,,,,,,,,,,,,,,,
Плитка ТАЙНА ВОНКИ / 50 гр,0.0,1.0,шт,,,,450.0,,,450.0,450.0,,,,,,,,,,,,,,,
Дрип микс 1 шт. TASTY,0.0,3.0,шт,,,,405.0,,,135.0,405.0,,,,,,,,,,,,,,,
