МОДЕЛЬ ОПЛАТЫ ТРУДА КУХНИ
STA v1.0 — Производственная система кухни VK-offee

Объём позиций,Состав смены,Макс. часов (младшие),Повар-универсал,Младший повар (1),Младший повар (2),Итого ФОТ
до 90,1 повар,—,3 500 руб,—,—,3 500 руб
90+,1 + 1,6ч,3 500 руб,1 500 руб,—,5 000 руб
140+,1 + 2,6ч,3 500 руб,1 500 руб,1 500 руб,6 500 руб
160+,1 + 2,8ч,3 500 руб,2 000 руб,2 000 руб,7 500 руб
200+,1 + 2,10ч,4 000 руб,2 500 руб,2 500 руб,9 000 руб
240+,1 + 2,10ч,4 000 руб,3 000 руб,3 000 руб,10 000 руб

⚠️ Максимум: 270 позиций — физический потолок для текущей команды

ПРАВИЛА
Главное правило:,ФОТ факт ≤ 50 руб × кол-во позиций
Решение о составе смены:,Принимает руководитель — не повар
Оплата младшего повара:,Фиксированная за смену — не почасовая
Свыше 270 позиций:,Заказ не берётся или переносится на два дня
