,САМОКИША
"4 человек 
Родион, Ксюша, Лена, Даша ", с 15 по 22.09
Название,На остатке,По факту,Расхождение,Сколько ₽,Доп. комментарий
Десерты
Десерт 240,18 шт,17 шт,-1 шт,150
Трубочка со сгущенкой,64 шт,63 шт,-1 шт,65
Онигурадзу рыба/ краб,4 шт,0 шт,-4 шт,,пересорт 
Онигурадзу Шеф / Том ЯМ,-4 шт,0 шт,4 шт в +
Ролл Индейка ВК,6 шт,7 шт,1 шт в +,,роллы пересорт 
Ролл рыба / креветка ВК,5 шт,4 шт,-1 шт,10

Итого: ,,,,225

Зерно 
Бразилия Можиана 250,6 шт,7 шт,1 шт в +,,"пересорт: пробили Можиана, отдали серрадо"
Бразилия серрадо 250,13 шт,12 шт,-1 шт
Итого: ,,,,0



ИТОГО ВСЕГО,,,,225
