САМОКИША,27.03 - 13.04
5,84 ₽
"Родион К, Саша, Артем, Василиса, Родион З"
,💰,420 ₽
Название,На остатке,По факту,Расхождение,Сколько ₽,Доп. комментарий
Десерты / Еда
Блины с ветчиной и сыром «МФуд»,3,2,-1 шт,0,пересорт с блины курица
Блины с курицей и грибами «МФуд»,3,4,1 шт +,0
Боул семга ВК,3,2,-1 шт,100,пересорт с рис индейка 1 шт
Онигурадзу семга / краб/ креветка,3,4,1 шт +,0
Онигурадзу Шеф,2,1,-1 шт,70,пересорт с онигуру краб/креветка/семга
Рис индейка терияки ВК,-2,0,2 шт +,0
Ролл Индейка ВК,5,4,-1 шт,0,пересорт с рис индейка 1 шт
Сэндвич,2,1,-1 шт,250



Итого,,,,420

"Вода в бутылках, Батончики, Дрип поштучно, Пакет крафт
Шоколад"






Итого,,,,0

ЗЕРНО / ЧАЙ / ШОКОЛАД


Итого,,,,0
