,Бокс С ,Цена,,Бокс М 1,Цена,,Бокс М 2,Цена,,,,,Заметки,Кол-во,Цена 
ЛУГОВАЯ,Шоколад Индонезия Вест бали,450,,Эф. Оромия,820,,Эф. Гуджи,819,,,,,Чай Апельсин. со специями,20 гр ,10
,Чай со специями,10,,Черный чай Ассам,48,,Дрип Бэрри,120,,,,,Чай Змей,16 гр,130
,Плитка шмель,350,,Чай Змей,130,,Чай Змей,130,,,,,Черный чай Ассам,20 гр,48
,Шоколад на чашку,300,,Шоколад Малиновый бамбл,540,,Чай Апельсиновый,10,,,,,Чай с чабрецом,16 гр,29
,Свеча железная,900,,Свеча железная,900,,Шоколад Грешью,480
,,,,,,,Плитка шоколад Перу,350,,,,,Коробка С,1 шт,78
,Коробка С,78,,Коробка М,91,,Свеча железная,900,,,,,Коробка М,1 шт,91
,Баночка,109,,Баночка,109,,,,,,,,Баночка,1 шт,109
,Наполнитель для бокса С,20,,Наполнитель для бокса С,20,,Коробка М,91,,,,,Наполнитель для бокса С,,20
,Работа,300,,Работа,300,,Баночка,109,,,,,Работа,,300
,,,,,,,Наполнитель для бокса С,20
,,,,,,,Работа,300,,,,,Свеча железная,1 шт,900
,,,,,,,,,,,,,Свеча С,1 шт
,"Итого, вместе с расходниками: ",2517,,"Итого, вместе с расходниками: ",2958,,"Итого, вместе с расходниками: ",3329
,Розничная цена,2800,,Розничная цена,,,Розничная цена

ТУРГЕНЕВА,Бокс С 1,Цена,,Бокс С 2,Цена,,Бокс М 1,Цена,,Бокс М 2,Цена
,Шоколад Индонезия Вест бали,450,,Руанда Киву,860,,Руанда Кигали,879,,Ягодный джем,979
,Плитка Клубничный сорбет,350,,Дрип Бэрри,120,,Дрип Бэрри,120,,Черный чай Ассам,48
,Шоколад на чашку,300,,Дрип микролот 2 шт,300,,Черный чай Ассам,48,,Чай с чабрецом,29
,Чай Змей,130,,Плитка Рафаэль,350,,Чай Апельсиновый,10,,Шоколад Клубничный сорбет,600
,Свеча железная,900,,Арома Диффузер,1300,,Шоколад Грешью ,480,,Свеча С,1200
,,,,,,,Плитка Таиланд,300
,Коробка С,78,,Коробка С,78,,Свеча железная,900
,Баночка,109,,Баночка,109
,Наполнитель для бокса С,20,,Наполнитель для бокса С,20,,Коробка М,91,,Коробка М,91
,Работа,300,,Работа,300,,Баночка,109,,Баночка,109
,,,,,,,Наполнитель для бокса С,20,,Наполнитель для бокса С,20
,"Итого, вместе с расходниками: ",2637,,"Итого, вместе с расходниками: ",3437,,Работа,300,,Работа,300
,Розничная цена,,,Розничная цена
,,,,,,,"Итого, вместе с расходниками: ",3257,,"Итого, вместе с расходниками: ",3376
,,,,,,,Розничная цена,,,Розничная цена
